Datetime;Load;PV
12/12/2022 06:00;3;0,005
12/12/2022 06:05;2,3318;0,0052
12/12/2022 06:10;2,3214;0,0056
12/12/2022 06:15;2,2942;0,0062
12/12/2022 06:20;2,3128;0,0064
12/12/2022 06:25;2,8342;0,006
12/12/2022 06:30;3,4526;0,0044
12/12/2022 06:35;3,4334;0,0046
12/12/2022 06:40;3,4686;0,0046
12/12/2022 06:45;4,4454;0,006
12/12/2022 06:50;10,2942;0,0062
12/12/2022 06:55;8,7966;0,0056
12/12/2022 07:00;6,8532;0,0052
12/12/2022 07:05;14,6278;0,005
12/12/2022 07:10;14,9634;0,0044
12/12/2022 07:15;12,3416;0,0048
12/12/2022 07:20;11,7504;0,0046
12/12/2022 07:25;12,2026;0,0048
12/12/2022 07:30;12,2724;0,0054
12/12/2022 07:35;12,7;0,0062
12/12/2022 07:40;12,3914;0,0058
12/12/2022 07:45;13,9222;0,0064
12/12/2022 07:50;13,472;0,0064
12/12/2022 07:55;12,966;0,0068
12/12/2022 08:00;13,5846;0,006
12/12/2022 08:05;15,0614;0,0062
12/12/2022 08:10;13,3644;0,006
12/12/2022 08:15;13,7508;0,006
12/12/2022 08:20;13,0958;0,006
12/12/2022 08:25;13,4432;0,0058
12/12/2022 08:30;13,0378;0,0062
12/12/2022 08:35;13,06;0,007
12/12/2022 08:40;13,0462;0,0102
12/12/2022 08:45;13,8056;-0,0202
12/12/2022 08:50;13,6438;-0,0606
12/12/2022 08:55;13,1294;-0,1082
12/12/2022 09:00;13,892;-0,1768
12/12/2022 09:05;13,9158;-0,2368
12/12/2022 09:10;14,521;-0,2908
12/12/2022 09:15;14,4504;-0,3768
12/12/2022 09:20;18,8314;-0,5102
12/12/2022 09:25;19,1416;-0,6914
12/12/2022 09:30;13,2908;-0,9462
12/12/2022 09:35;13,1718;-1,2806
12/12/2022 09:40;13,382;-1,5946
12/12/2022 09:45;14,985;-1,8432
12/12/2022 09:50;16,682;-2,0696
12/12/2022 09:55;15,5312;-2,2748
12/12/2022 10:00;14,3192;-2,5502
12/12/2022 10:05;13,919;-2,8418
12/12/2022 10:10;13,3852;-3,2784
12/12/2022 10:15;15,077;-3,705
12/12/2022 10:20;15,6926;-4,0864
12/12/2022 10:25;14,4686;-4,413
12/12/2022 10:30;13,4644;-4,7752
12/12/2022 10:35;16,8148;-5,1938
12/12/2022 10:40;16,1514;-5,4972
12/12/2022 10:45;14,4426;-5,8826
12/12/2022 10:50;15,1974;-6,1584
12/12/2022 10:55;14,2956;-6,4652
12/12/2022 11:00;14,5014;-6,7056
12/12/2022 11:05;14,3328;-6,9298
12/12/2022 11:10;13,8142;-7,1488
12/12/2022 11:15;15,5064;-7,215
12/12/2022 11:20;16,2326;-7,3176
12/12/2022 11:25;13,616;-7,3768
12/12/2022 11:30;13,5608;-7,4098
12/12/2022 11:35;13,3586;-7,4922
12/12/2022 11:40;15,318;-7,7258
12/12/2022 11:45;16,6178;-7,8498
12/12/2022 11:50;13,4624;-7,894
12/12/2022 11:55;13,8334;-7,9096
12/12/2022 12:00;13,8144;-7,9312
12/12/2022 12:05;14,33;-7,9632
12/12/2022 12:10;13,8116;-8,0352
12/12/2022 12:15;13,9692;-8,044
12/12/2022 12:20;14,112;-8,0236
12/12/2022 12:25;13,541;-8,062
12/12/2022 12:30;13,4216;-8,0162
12/12/2022 12:35;13,6592;-8,037
12/12/2022 12:40;13,8216;-7,982
12/12/2022 12:45;13,0024;-7,9902
12/12/2022 12:50;12,729;-7,8852
12/12/2022 12:55;12,856;-7,7876
12/12/2022 13:00;12,8364;-7,667
12/12/2022 13:05;13,7466;-7,5474
12/12/2022 13:10;16,83;-7,4706
12/12/2022 13:15;14,3094;-7,388
12/12/2022 13:20;12,888;-7,2924
12/12/2022 13:25;13,0026;-7,248
12/12/2022 13:30;13,9542;-7,1834
12/12/2022 13:35;13,3168;-7,0574
12/12/2022 13:40;12,931;-6,985
12/12/2022 13:45;13,0278;-6,7952
12/12/2022 13:50;13,7774;-6,6736
12/12/2022 13:55;14,298;-6,5184
12/12/2022 14:00;14,3872;-6,3414
12/12/2022 14:05;15,7128;-6,1392
12/12/2022 14:10;13,4912;-6,0532
12/12/2022 14:15;12,9654;-5,8104
12/12/2022 14:20;13,1088;-5,665
12/12/2022 14:25;13,859;-5,509
12/12/2022 14:30;16,7144;-5,3298
12/12/2022 14:35;15,7032;-5,099
12/12/2022 14:40;13,4364;-4,8178
12/12/2022 14:45;12,5902;-4,4896
12/12/2022 14:50;12,4842;-4,192
12/12/2022 14:55;13,304;-3,915
12/12/2022 15:00;13,854;-3,5888
12/12/2022 15:05;13,3326;-3,276
12/12/2022 15:10;12,8082;-2,9694
12/12/2022 15:15;14,124;-2,6796
12/12/2022 15:20;14,0434;-2,3234
12/12/2022 15:25;13,2296;-1,9482
12/12/2022 15:30;13,1126;-1,6486
12/12/2022 15:35;12,584;-1,4466
12/12/2022 15:40;12,7022;-1,262
12/12/2022 15:45;12,7456;-1,043
12/12/2022 15:50;14,4928;-0,7938
12/12/2022 15:55;15,0336;-0,5546
12/12/2022 16:00;13,283;-0,3938
12/12/2022 16:05;12,5582;-0,259
12/12/2022 16:10;12,606;-0,1436
12/12/2022 16:15;12,5412;-0,0852
12/12/2022 16:20;12,4074;-0,0358
12/12/2022 16:25;12,3728;0,0192
12/12/2022 16:30;11,7442;0,043
12/12/2022 16:35;10,835;0,0098
12/12/2022 16:40;10,0294;0,0068
12/12/2022 16:45;5,1438;0,006
12/12/2022 16:50;4,8682;0,0008
12/12/2022 16:55;3,9624;0,0006
12/12/2022 17:00;4,3618;0,0016
12/12/2022 17:05;3,8634;0,005
12/12/2022 17:10;3,754;0,0052
12/12/2022 17:15;3,6942;0,005
12/12/2022 17:20;3,7146;0,0046
12/12/2022 17:25;3,6692;0,0054
12/12/2022 17:30;3,6934;0,0052
12/12/2022 17:35;6,1632;0,005
12/12/2022 17:40;5,5264;0,0056
12/12/2022 17:45;3,7486;0,0052
12/12/2022 17:50;3,7162;0,0062
12/12/2022 17:55;3,701;0,0062
12/12/2022 18:00;4,1472;0,006
