Datetime;Load;PV
22/06/2022 06:00;2,5408;-0,1756
22/06/2022 06:05;3,2516;-0,2106
22/06/2022 06:10;2,1644;-0,241
22/06/2022 06:15;2,1258;-0,2698
22/06/2022 06:20;2,0894;-0,3038
22/06/2022 06:25;2,0894;-0,3364
22/06/2022 06:30;2,0984;-0,3746
22/06/2022 06:35;2,167;-0,4266
22/06/2022 06:40;3,2122;-0,503
22/06/2022 06:45;3,1542;-0,5886
22/06/2022 06:50;3,7198;-0,687
22/06/2022 06:55;3,7818;-0,7976
22/06/2022 07:00;6,1668;-0,9292
22/06/2022 07:05;11,9044;-1,0904
22/06/2022 07:10;12,188;-1,2778
22/06/2022 07:15;11,216;-1,4778
22/06/2022 07:20;9,288;-1,693
22/06/2022 07:25;10,5514;-1,9302
22/06/2022 07:30;12,3524;-2,101
22/06/2022 07:35;12,0556;-2,3962
22/06/2022 07:40;11,77;-2,6382
22/06/2022 07:45;12,2652;-2,8796
22/06/2022 07:50;13,9514;-3,0514
22/06/2022 07:55;14,721;-3,3834
22/06/2022 08:00;15,2284;-3,6678
22/06/2022 08:05;11,485;-3,796
22/06/2022 08:10;14,524;-4,168
22/06/2022 08:15;15,0634;-4,4858
22/06/2022 08:20;13,6622;-4,812
22/06/2022 08:25;12,2774;-5,0786
22/06/2022 08:30;12,2418;-5,3416
22/06/2022 08:35;12,1934;-5,6716
22/06/2022 08:40;13,33;-6,045
22/06/2022 08:45;13,3204;-6,2616
22/06/2022 08:50;11,8842;-6,4116
22/06/2022 08:55;12,3556;-6,582
22/06/2022 09:00;13,2392;-6,8468
22/06/2022 09:05;13,535;-6,753
22/06/2022 09:10;13,5668;-6,8162
22/06/2022 09:15;13,3324;-7,5802
22/06/2022 09:20;12,408;-7,551
22/06/2022 09:25;12,936;-7,8758
22/06/2022 09:30;15,0962;-8,4904
22/06/2022 09:35;15,9522;-8,5674
22/06/2022 09:40;12,484;-8,987
22/06/2022 09:45;12,3902;-8,487
22/06/2022 09:50;13,7208;-8,8498
22/06/2022 09:55;13,4528;-8,9328
22/06/2022 10:00;14,477;-9,413
22/06/2022 10:05;14,7588;-10,0758
22/06/2022 10:10;13,7456;-10,3016
22/06/2022 10:15;13,1518;-10,3844
22/06/2022 10:20;13,5062;-10,6258
22/06/2022 10:25;12,8276;-10,5394
22/06/2022 10:30;14,713;-10,7548
22/06/2022 10:35;12,5398;-10,5552
