Datetime;Load;PV
21/03/2022 06:00;2,3362;0,0062
21/03/2022 06:05;3,4688;0,0064
21/03/2022 06:10;7,3338;0,0052
21/03/2022 06:15;9,9364;0,0054
21/03/2022 06:20;8,6178;0,0056
21/03/2022 06:25;7,0204;0,005
21/03/2022 06:30;7,1704;0,005
21/03/2022 06:35;7,1068;0,0052
21/03/2022 06:40;8,106;0,0056
21/03/2022 06:45;8,8596;0,004
21/03/2022 06:50;10,8284;-0,0438
21/03/2022 06:55;10,223;-0,121
21/03/2022 07:00;10,081;-0,2592
21/03/2022 07:05;12,1986;-0,4352
21/03/2022 07:10;15,0602;-0,616
21/03/2022 07:15;12,7004;-0,8234
21/03/2022 07:20;11,9242;-1,0654
21/03/2022 07:25;11,9202;-1,3224
21/03/2022 07:30;11,7654;-1,5524
21/03/2022 07:35;12,8458;-1,7794
21/03/2022 07:40;13,2546;-2,0486
21/03/2022 07:45;16,1192;-2,3422
21/03/2022 07:50;16,6752;-2,6416
21/03/2022 07:55;14,0206;-2,9404
21/03/2022 08:00;15,2758;-3,228
21/03/2022 08:05;16,4262;-3,566
21/03/2022 08:10;13,914;-3,871
21/03/2022 08:15;14,0116;-4,1996
21/03/2022 08:20;14,4208;-4,4578
21/03/2022 08:25;14,2604;-4,777
21/03/2022 08:30;14,9564;-5,0566
21/03/2022 08:35;16,532;-5,3476
21/03/2022 08:40;13,9586;-5,6544
21/03/2022 08:45;13,9008;-5,9646
21/03/2022 08:50;14,6838;-6,2924
21/03/2022 08:55;14,5476;-6,584
21/03/2022 09:00;14,4396;-6,885
21/03/2022 09:05;14,579;-7,1312
21/03/2022 09:10;14,1084;-7,4068
21/03/2022 09:15;13,7712;-7,6788
21/03/2022 09:20;15,5044;-7,912
21/03/2022 09:25;13,838;-8,1748
21/03/2022 09:30;13,5998;-8,4516
21/03/2022 09:35;13,6214;-8,6816
21/03/2022 09:40;14,0866;-8,8856
21/03/2022 09:45;13,7314;-9,0934
21/03/2022 09:50;14,1012;-9,27
21/03/2022 09:55;16,491;-9,4558
21/03/2022 10:00;16,019;-9,6424
21/03/2022 10:05;14,0978;-9,8656
21/03/2022 10:10;14,107;-10,0126
21/03/2022 10:15;15,2158;-10,1358
21/03/2022 10:20;13,7894;-10,295
21/03/2022 10:25;13,7076;-10,492
21/03/2022 10:30;14,5828;-10,5904
21/03/2022 10:35;13,7838;-10,848
21/03/2022 10:40;13,7362;-11,0184
21/03/2022 10:45;13,8704;-11,1042
21/03/2022 10:50;13,1634;-11,2172
21/03/2022 10:55;13,657;-11,3956
21/03/2022 11:00;13,633;-11,4946
21/03/2022 11:05;14,9132;-11,5186
21/03/2022 11:10;13,8056;-11,6938
21/03/2022 11:15;13,6338;-11,758
21/03/2022 11:20;14,426;-11,86
21/03/2022 11:25;13,9192;-11,9312
21/03/2022 11:30;13,7622;-11,9026
21/03/2022 11:35;13,674;-11,8156
21/03/2022 11:40;14,4372;-11,9362
21/03/2022 11:45;17,2266;-12,0186
21/03/2022 11:50;15,0026;-11,9974
21/03/2022 11:55;13,6548;-11,8688
21/03/2022 12:00;14,8296;-11,916
21/03/2022 12:05;14,693;-11,9514
21/03/2022 12:10;13,6768;-11,9614
21/03/2022 12:15;13,4024;-11,96
21/03/2022 12:20;13,7296;-11,8732
21/03/2022 12:25;13,7416;-11,9168
21/03/2022 12:30;15,2178;-11,8712
21/03/2022 12:35;13,575;-11,789
21/03/2022 12:40;13,1956;-11,7634
21/03/2022 12:45;13,7012;-11,7572
21/03/2022 12:50;14,1852;-11,7654
21/03/2022 12:55;12,9298;-11,6278
21/03/2022 13:00;13,0934;-11,7018
21/03/2022 13:05;13,194;-11,6032
21/03/2022 13:10;13,4652;-11,5338
21/03/2022 13:15;13,711;-11,4124
21/03/2022 13:20;15,3468;-11,4344
21/03/2022 13:25;14,034;-11,3042
21/03/2022 13:30;15,219;-11,1516
21/03/2022 13:35;16,1094;-11,0982
21/03/2022 13:40;13,5482;-11,0868
21/03/2022 13:45;13,4794;-10,9824
21/03/2022 13:50;13,6688;-10,8504
21/03/2022 13:55;13,9434;-10,8086
21/03/2022 14:00;13,5196;-10,718
21/03/2022 14:05;14,0174;-10,7048
21/03/2022 14:10;14,3556;-10,476
21/03/2022 14:15;13,585;-10,3846
21/03/2022 14:20;13,0286;-10,4018
21/03/2022 14:25;12,9196;-10,3102
21/03/2022 14:30;12,839;-9,9414
21/03/2022 14:35;13,0324;-9,6792
21/03/2022 14:40;12,916;-9,5156
21/03/2022 14:45;13,06;-9,3624
21/03/2022 14:50;13,1202;-9,2348
21/03/2022 14:55;13,0396;-9,0112
21/03/2022 15:00;12,8046;-8,942
21/03/2022 15:05;12,9726;-8,8784
21/03/2022 15:10;13,4746;-8,5608
21/03/2022 15:15;12,5894;-8,264
21/03/2022 15:20;15,065;-8,0774
21/03/2022 15:25;14,4592;-7,8608
21/03/2022 15:30;13,1428;-7,7398
21/03/2022 15:35;12,6612;-7,69
21/03/2022 15:40;12,7402;-7,5484
21/03/2022 15:45;12,8266;-7,177
21/03/2022 15:50;12,6942;-6,9294
21/03/2022 15:55;12,63;-6,7328
21/03/2022 16:00;12,4396;-6,3716
21/03/2022 16:05;12,1872;-6,2308
21/03/2022 16:10;11,9334;-5,973
21/03/2022 16:15;12,0766;-5,6074
21/03/2022 16:20;11,9696;-5,3978
21/03/2022 16:25;12,7924;-5,1806
21/03/2022 16:30;11,811;-5,0062
21/03/2022 16:35;11,36;-4,7478
21/03/2022 16:40;10,202;-4,4488
21/03/2022 16:45;9,7456;-4,1984
21/03/2022 16:50;9,6516;-3,8058
21/03/2022 16:55;8,946;-3,44
21/03/2022 17:00;7,4562;-3,2348
21/03/2022 17:05;6,941;-3,037
21/03/2022 17:10;7,0024;-2,7814
21/03/2022 17:15;6,7926;-2,5198
21/03/2022 17:20;6,8642;-2,2678
21/03/2022 17:25;7,0046;-2,0214
21/03/2022 17:30;6,831;-1,7622
21/03/2022 17:35;6,8994;-1,5554
21/03/2022 17:40;6,858;-1,3462
21/03/2022 17:45;7,0344;-1,0256
21/03/2022 17:50;6,9412;-0,9128
21/03/2022 17:55;7,1438;-0,848
21/03/2022 18:00;7,7098;-0,7076
