Load;PV
2,3362;0,0062
3,4688;0,0064
7,3338;0,0052
9,9364;0,0054
8,6178;0,0056
7,0204;0,005
7,1704;0,005
7,1068;0,0052
8,106;0,0056
8,8596;0,004
10,8284;-0,0438
10,223;-0,121
10,081;-0,2592
12,1986;-0,4352
15,0602;-0,616
12,7004;-0,8234
11,9242;-1,0654
11,9202;-1,3224
11,7654;-1,5524
12,8458;-1,7794
13,2546;-2,0486
16,1192;-2,3422
16,6752;-2,6416
14,0206;-2,9404
15,2758;-3,228
16,4262;-3,566
13,914;-3,871
14,0116;-4,1996
14,4208;-4,4578
14,2604;-4,777
14,9564;-5,0566
16,532;-5,3476
13,9586;-5,6544
13,9008;-5,9646
14,6838;-6,2924
14,5476;-6,584
14,4396;-6,885
14,579;-7,1312
14,1084;-7,4068
13,7712;-7,6788
15,5044;-7,912
13,838;-8,1748
13,5998;-8,4516
13,6214;-8,6816
14,0866;-8,8856
13,7314;-9,0934
14,1012;-9,27
16,491;-9,4558
16,019;-9,6424
14,0978;-9,8656
14,107;-10,0126
15,2158;-10,1358
13,7894;-10,295
13,7076;-10,492
14,5828;-10,5904
13,7838;-10,848
13,7362;-11,0184
13,8704;-11,1042
13,1634;-11,2172
13,657;-11,3956
13,633;-11,4946
14,9132;-11,5186
13,8056;-11,6938
13,6338;-11,758
14,426;-11,86
13,9192;-11,9312
13,7622;-11,9026
13,674;-11,8156
14,4372;-11,9362
17,2266;-12,0186
15,0026;-11,9974
13,6548;-11,8688
14,8296;-11,916
14,693;-11,9514
13,6768;-11,9614
13,4024;-11,96
13,7296;-11,8732
13,7416;-11,9168
15,2178;-11,8712
13,575;-11,789
13,1956;-11,7634
13,7012;-11,7572
14,1852;-11,7654
12,9298;-11,6278
13,0934;-11,7018
13,194;-11,6032
13,4652;-11,5338
13,711;-11,4124
15,3468;-11,4344
14,034;-11,3042
15,219;-11,1516
16,1094;-11,0982
13,5482;-11,0868
13,4794;-10,9824
13,6688;-10,8504
13,9434;-10,8086
13,5196;-10,718
14,0174;-10,7048
14,3556;-10,476
13,585;-10,3846
13,0286;-10,4018
12,9196;-10,3102
12,839;-9,9414
13,0324;-9,6792
12,916;-9,5156
13,06;-9,3624
13,1202;-9,2348
13,0396;-9,0112
12,8046;-8,942
12,9726;-8,8784
13,4746;-8,5608
12,5894;-8,264
15,065;-8,0774
14,4592;-7,8608
13,1428;-7,7398
12,6612;-7,69
12,7402;-7,5484
12,8266;-7,177
12,6942;-6,9294
12,63;-6,7328
12,4396;-6,3716
12,1872;-6,2308
11,9334;-5,973
12,0766;-5,6074
11,9696;-5,3978
12,7924;-5,1806
11,811;-5,0062
11,36;-4,7478
10,202;-4,4488
9,7456;-4,1984
9,6516;-3,8058
8,946;-3,44
7,4562;-3,2348
6,941;-3,037
7,0024;-2,7814
6,7926;-2,5198
6,8642;-2,2678
7,0046;-2,0214
6,831;-1,7622
6,8994;-1,5554
6,858;-1,3462
7,0344;-1,0256
6,9412;-0,9128
7,1438;-0,848
7,7098;-0,7076
