Unnamed: 0,Datetime,Iset,Igrid_avg,Vgrid_avg,Icharger,Vcharger
,2023-07-07 14:18:10,0.0,1.2,230.0,0.1,347.1
,2023-07-07 14:18:12,0.0,2.5,230.0,0.1,347.1
,2023-07-07 14:18:14,0.0,0.3,230.2,0.1,347.1
,2023-07-07 14:18:17,0.0,0.3,230.2,0.1,347.1
,2023-07-07 14:18:19,0.0,0.3,230.1,0.1,347.1
,2023-07-07 14:18:21,0.0,0.3,230.1,0.1,347.1
,2023-07-07 14:18:26,0.0,0.3,230.0,0.1,347.1
,2023-07-07 14:18:28,0.0,0.3,230.0,0.1,347.3
,2023-07-07 14:18:30,0.0,0.0,0.0,0.0,0.0
,2023-07-07 14:18:33,0.0,0.3,230.3,0.1,347.1
,2023-07-07 14:18:35,0.0,0.3,230.4,0.1,347.1
,2023-07-07 14:18:37,0.0,0.3,230.7,0.1,347.1
,2023-07-07 14:18:39,0.0,0.3,230.6,0.1,347.1
,2023-07-07 14:18:42,0.0,0.3,230.6,0.1,347.1
,2023-07-07 14:18:44,0.0,0.3,230.7,0.1,347.3
,2023-07-07 14:18:46,0.0,0.3,230.7,0.1,347.1
,2023-07-07 14:18:48,0.0,0.3,230.6,0.1,347.1
,2023-07-07 14:18:51,0.0,0.3,230.5,0.1,347.1
,2023-07-07 14:18:53,0.0,0.3,230.5,0.1,347.1
,2023-07-07 14:18:55,0.0,0.3,230.5,0.1,347.3
,2023-07-07 14:18:58,20.0,0.3,230.5,0.1,347.1
,2023-07-07 14:19:02,20.0,10.4,228.6,20.2,348.2
,2023-07-07 14:19:06,6.0,10.4,228.7,20.2,348.2
,2023-07-07 14:19:10,6.0,3.1,229.8,6.0,347.7
,2023-07-07 14:19:13,6.0,3.2,229.6,6.1,347.5
,2023-07-07 14:19:17,6.0,3.2,229.6,6.0,347.3
,2023-07-07 14:19:21,6.0,3.2,229.8,6.0,347.5
,2023-07-07 14:19:25,6.0,3.1,229.7,6.0,347.5
,2023-07-07 14:19:28,6.0,3.2,229.7,6.0,347.5
,2023-07-07 14:19:32,6.0,3.1,229.7,6.1,347.5
,2023-07-07 14:19:37,6.0,3.1,229.6,6.1,347.7
,2023-07-07 14:19:43,6.0,3.1,229.6,6.1,347.5
,2023-07-07 14:19:48,6.0,3.1,229.7,6.0,347.7
,2023-07-07 14:19:53,6.0,3.2,229.6,6.1,347.5
,2023-07-07 14:19:59,6.0,3.2,229.7,6.0,347.7
,2023-07-07 14:20:04,19.69,3.1,229.8,6.0,347.5
,2023-07-07 14:20:08,20.0,10.2,228.6,19.8,348.2
,2023-07-07 14:20:13,20.0,10.4,228.4,20.2,348.4
,2023-07-07 14:20:18,20.0,10.4,228.3,20.2,348.2
,2023-07-07 14:20:23,20.0,10.4,228.5,20.2,348.4
,2023-07-07 14:20:28,20.0,10.4,228.3,20.2,348.4
,2023-07-07 14:20:33,20.0,10.4,228.1,20.2,348.4
,2023-07-07 14:20:38,20.0,10.4,228.1,20.2,348.6
,2023-07-07 14:20:43,20.0,10.4,228.1,20.2,348.4
,2023-07-07 14:20:47,20.0,10.4,228.1,20.3,348.6
,2023-07-07 14:20:52,20.0,10.4,228.1,20.2,348.4
,2023-07-07 14:20:57,20.0,10.4,228.1,20.2,348.4
,2023-07-07 14:21:02,20.0,10.4,228.4,20.2,348.6
,2023-07-07 14:21:07,20.0,10.4,228.5,20.2,348.4
,2023-07-07 14:21:11,20.0,10.4,228.3,20.2,348.6
,2023-07-07 14:21:17,20.0,10.4,228.3,20.2,348.6
,2023-07-07 14:21:22,20.0,10.4,228.4,20.2,348.6
,2023-07-07 14:21:27,20.0,10.4,228.3,20.2,348.8
,2023-07-07 14:21:31,20.0,10.4,228.3,20.2,348.8
,2023-07-07 14:21:36,20.0,10.4,228.2,20.3,348.6
,2023-07-07 14:21:41,20.0,10.4,228.3,20.1,348.6
,2023-07-07 14:21:45,20.0,10.4,228.3,20.1,348.6
,2023-07-07 14:21:50,20.0,10.4,228.5,20.2,348.8
,2023-07-07 14:21:55,20.0,10.4,228.5,20.2,348.6
,2023-07-07 14:21:59,20.0,10.4,228.4,20.2,348.8
,2023-07-07 14:22:04,20.0,10.4,228.5,20.2,348.6
,2023-07-07 14:22:08,20.0,10.4,228.6,20.2,348.8
,2023-07-07 14:22:13,20.0,10.4,228.6,20.2,348.8
,2023-07-07 14:22:17,20.0,10.4,228.4,20.2,348.6
,2023-07-07 14:22:22,20.0,10.4,228.5,20.2,348.8
,2023-07-07 14:22:26,20.0,10.4,228.5,20.2,348.8
,2023-07-07 14:22:30,20.0,10.4,228.8,20.3,348.8
,2023-07-07 14:22:34,20.0,10.4,229.0,20.2,348.8
,2023-07-07 14:22:38,20.0,10.4,229.1,20.2,348.8
,2023-07-07 14:22:42,20.0,10.4,229.2,20.2,348.8
,2023-07-07 14:22:46,20.0,10.4,229.1,20.3,348.8
,2023-07-07 14:22:50,20.0,10.4,229.1,20.2,348.8
,2023-07-07 14:22:54,20.0,10.4,229.1,20.2,348.8
,2023-07-07 14:22:57,20.0,10.4,229.0,20.2,348.8
