Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
05/07/2023 17:52:46:059;345.998;0;0;;;0.090644;0;0;;;31.2006;0;0
05/07/2023 17:52:46:062;345.998;0;0;;;0.090644;0;0;;;31.2006;0;0
05/07/2023 17:52:47:088;345.997;0;0;;;0.0895537;0;0;;;30.9203;0;0
05/07/2023 17:52:47:092;345.997;0;0;;;0.0895537;0;0;;;30.9203;0;0
05/07/2023 17:52:48:073;345.999;0;0;;;0.0902959;0;0;;;31.1678;0;0
05/07/2023 17:52:48:101;345.999;0;0;;;0.0902959;0;0;;;31.1678;0;0
05/07/2023 17:52:49:134;345.997;0;0;;;0.090779;0;0;;;31.3953;0;0
05/07/2023 17:52:49:137;345.997;0;0;;;0.090779;0;0;;;31.3953;0;0
05/07/2023 17:52:50:128;345.997;0;0;;;0.0902863;0;0;;;31.4037;0;0
05/07/2023 17:52:50:131;345.997;0;0;;;0.0902863;0;0;;;31.4037;0;0
05/07/2023 17:52:51:164;345.997;7.6116e-311;7.6116e-311;;;0.0906708;7.6116e-311;7.6116e-311;;;31.3162;7.6116e-311;7.6116e-311
05/07/2023 17:52:51:167;345.997;7.62009e-311;7.62009e-311;;;0.0906708;7.62009e-311;7.62009e-311;;;31.3162;7.62009e-311;7.62009e-311
05/07/2023 17:52:52:176;345.997;7.62857e-311;7.62857e-311;;;0.0902865;7.62857e-311;7.62857e-311;;;31.1962;7.62857e-311;7.62857e-311
05/07/2023 17:52:52:178;345.997;7.63706e-311;7.63706e-311;;;0.0902865;7.63706e-311;7.63706e-311;;;31.1962;7.63706e-311;7.63706e-311
05/07/2023 17:52:53:213;345.997;7.64555e-311;7.64555e-311;;;0.0896643;7.64555e-311;7.64555e-311;;;30.9834;7.64555e-311;7.64555e-311
05/07/2023 17:52:53:214;345.997;7.65404e-311;7.65404e-311;;;0.0896643;7.65404e-311;7.65404e-311;;;30.9834;7.65404e-311;7.65404e-311
05/07/2023 17:52:54:391;345.997;7.66253e-311;7.66253e-311;;;0.0896907;7.66253e-311;7.66253e-311;;;31.1697;7.66253e-311;7.66253e-311
05/07/2023 17:52:54:394;345.997;7.67101e-311;7.67101e-311;;;0.0896907;7.67101e-311;7.67101e-311;;;31.1697;7.67101e-311;7.67101e-311
05/07/2023 17:52:55:375;345.999;7.6795e-311;7.6795e-311;;;0.0902281;7.6795e-311;7.6795e-311;;;31.2685;7.6795e-311;7.6795e-311
05/07/2023 17:52:55:378;345.999;7.68799e-311;7.68799e-311;;;0.0902281;7.68799e-311;7.68799e-311;;;31.2685;7.68799e-311;7.68799e-311
05/07/2023 17:52:56:499;345.997;7.69648e-311;7.69648e-311;;;0.0902757;7.69648e-311;7.69648e-311;;;31.2;7.69648e-311;7.69648e-311
05/07/2023 17:52:56:502;345.997;7.70497e-311;7.70497e-311;;;0.0902757;7.70497e-311;7.70497e-311;;;31.2;7.70497e-311;7.70497e-311
05/07/2023 17:52:57:655;345.998;7.71345e-311;7.71345e-311;;;0.0896636;7.71345e-311;7.71345e-311;;;31.0059;7.71345e-311;7.71345e-311
05/07/2023 17:52:57:658;345.998;7.72194e-311;7.72194e-311;;;0.0896636;7.72194e-311;7.72194e-311;;;31.0059;7.72194e-311;7.72194e-311
05/07/2023 17:52:58:494;345.998;1.79939e-320;1.79939e-320;;;0.0890673;1.79939e-320;1.79939e-320;;;30.8044;1.79939e-320;1.79939e-320
