Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
05/07/2023 17:41:54:944;345.998;0;0;;;0.0901832;0;0;;;31.2018;0;0
05/07/2023 17:41:54:947;345.998;0;0;;;0.0901832;0;0;;;31.2018;0;0
05/07/2023 17:41:55:983;345.996;0;0;;;0.0897112;0;0;;;31.0323;0;0
05/07/2023 17:41:55:986;345.996;0;0;;;0.0897112;0;0;;;31.0323;0;0
05/07/2023 17:41:56:983;345.998;0;0;;;0.0895215;0;0;;;30.9829;0;0
05/07/2023 17:41:56:986;345.998;0;0;;;0.0895215;0;0;;;30.9829;0;0
05/07/2023 17:41:58:010;345.997;0;0;;;0.0875586;0;0;;;30.3132;0;0
05/07/2023 17:41:58:015;345.997;0;0;;;0.0875586;0;0;;;30.3132;0;0
05/07/2023 17:41:59:017;345.997;0;0;;;0.0893753;0;0;;;31.0284;0;0
05/07/2023 17:41:59:019;345.997;0;0;;;0.0893753;0;0;;;31.0284;0;0
05/07/2023 17:42:00:059;345.998;7.6116e-311;7.6116e-311;;;0.0895244;7.6116e-311;7.6116e-311;;;30.8354;7.6116e-311;7.6116e-311
05/07/2023 17:42:00:062;345.998;7.62009e-311;7.62009e-311;;;0.0895244;7.62009e-311;7.62009e-311;;;30.8354;7.62009e-311;7.62009e-311
05/07/2023 17:42:01:065;345.998;7.62857e-311;7.62857e-311;;;0.089578;7.62857e-311;7.62857e-311;;;31.0718;7.62857e-311;7.62857e-311
05/07/2023 17:42:01:068;345.998;7.63706e-311;7.63706e-311;;;0.089578;7.63706e-311;7.63706e-311;;;31.0718;7.63706e-311;7.63706e-311
05/07/2023 17:42:02:094;345.997;7.64555e-311;7.64555e-311;;;0.0874209;7.64555e-311;7.64555e-311;;;30.0748;7.64555e-311;7.64555e-311
05/07/2023 17:42:02:096;345.997;7.65404e-311;7.65404e-311;;;0.0874209;7.65404e-311;7.65404e-311;;;30.0748;7.65404e-311;7.65404e-311
05/07/2023 17:42:03:092;345.997;7.66253e-311;7.66253e-311;;;0.0902671;7.66253e-311;7.66253e-311;;;31.1847;7.66253e-311;7.66253e-311
05/07/2023 17:42:03:094;345.997;7.67101e-311;7.67101e-311;;;0.0902671;7.67101e-311;7.67101e-311;;;31.1847;7.67101e-311;7.67101e-311
