Unnamed: 0;Datetime;Iset;Igrid_avg;Vgrid_avg;Icharger;Vcharger
;05/07/2023 17:41;0.0;1.2;229.6;0.1;347.1
;05/07/2023 17:41;0.0;2.5;229.6;0.1;347.1
;05/07/2023 17:41;0.0;0.0;0.0;0.0;0.0
;05/07/2023 17:41;0.0;0.3;229.5;0.1;347.1
;05/07/2023 17:41;0.0;0.3;229.4;0.1;347.1
;05/07/2023 17:42;0.0;0.3;229.5;0.1;347.1
;05/07/2023 17:42;0.0;0.3;229.6;0.1;347.1
;05/07/2023 17:42;0.0;0.3;229.6;0.1;347.1
;05/07/2023 17:42;0.0;0.3;229.6;0.1;347.1
;05/07/2023 17:42;0.0;0.3;229.6;0.1;347.1
;05/07/2023 17:42;0.0;0.3;229.7;0.1;347.1
;05/07/2023 17:42;0.0;0.3;229.6;0.1;347.1
;05/07/2023 17:42;20.0;0.3;229.5;0.1;347.1
;05/07/2023 17:42;20.0;10.4;227.9;20.2;348.2
;05/07/2023 17:42;20.0;10.4;228.0;20.2;348.1
;05/07/2023 17:42;20.0;10.4;228.2;20.2;348.2
;05/07/2023 17:42;20.0;10.4;227.9;20.2;348.1
;05/07/2023 17:42;20.0;10.4;228.0;20.2;348.1
;05/07/2023 17:42;20.0;10.4;228.1;20.2;348.4
;05/07/2023 17:42;20.0;10.4;228.4;20.2;348.2
;05/07/2023 17:42;20.0;10.4;228.3;20.2;348.2
;05/07/2023 17:42;15.88;10.4;228.5;20.2;348.2
;05/07/2023 17:43;16.3;8.2;228.8;15.9;348.1
;05/07/2023 17:43;16.72;0.0;0.0;0.0;0.0
;05/07/2023 17:43;6.0;8.7;228.6;16.9;348.2
;05/07/2023 17:43;6.0;3.2;229.5;6.0;347.7
;05/07/2023 17:43;6.0;3.2;229.5;6.0;347.5
;05/07/2023 17:43;6.0;3.2;229.5;6.1;347.7
;05/07/2023 17:43;6.0;3.2;229.5;6.1;347.7
;05/07/2023 17:43;6.0;0.0;0.0;0.0;0.0
;05/07/2023 17:43;6.0;3.2;229.5;6.0;347.7
;05/07/2023 17:43;6.0;3.2;229.5;6.1;347.7
;05/07/2023 17:43;6.0;3.2;229.6;6.0;347.7
;05/07/2023 17:43;6.0;3.2;229.5;6.0;347.7
;05/07/2023 17:43;6.0;3.2;229.5;6.1;347.7
;05/07/2023 17:43;6.0;3.2;229.4;6.0;347.7
;05/07/2023 17:43;6.0;3.2;229.3;6.0;347.7
;05/07/2023 17:43;6.0;3.2;229.2;6.1;347.7
;05/07/2023 17:43;6.0;3.2;229.1;6.1;347.7
;05/07/2023 17:43;6.0;3.2;229.1;6.0;347.7
;05/07/2023 17:43;6.0;3.2;229.3;6.1;347.7
;05/07/2023 17:43;6.0;3.2;229.2;6.0;347.7
;05/07/2023 17:44;6.0;3.2;229.3;6.1;347.7
;05/07/2023 17:44;6.0;3.2;229.4;6.0;347.9
;05/07/2023 17:44;6.0;3.2;229.3;6.0;347.7
;05/07/2023 17:44;6.0;3.2;229.4;6.1;347.7
;05/07/2023 17:44;6.0;3.2;229.3;6.0;347.7
;05/07/2023 17:44;6.0;3.2;229.4;6.0;347.5
;05/07/2023 17:44;6.0;3.2;229.5;6.1;347.7
;05/07/2023 17:44;6.0;3.2;229.4;6.1;347.7
;05/07/2023 17:44;6.0;3.2;229.4;6.0;347.7
;05/07/2023 17:44;6.0;3.2;229.4;6.1;347.7
;05/07/2023 17:44;6.0;3.2;229.4;6.0;347.7
;05/07/2023 17:44;6.0;3.2;229.3;6.0;347.9
;05/07/2023 17:44;6.0;3.2;229.2;6.0;347.5
;05/07/2023 17:44;6.0;3.2;228.9;6.0;347.7
;05/07/2023 17:44;6.0;3.2;228.8;6.0;347.7
;05/07/2023 17:44;6.0;3.2;228.9;6.0;347.9
;05/07/2023 17:44;6.0;3.2;228.9;6.0;347.7
;05/07/2023 17:44;6.0;3.2;228.8;6.0;347.7
;05/07/2023 17:44;9.29;3.2;228.8;6.1;347.9
;05/07/2023 17:44;10.03;4.8;228.5;9.2;347.9
