Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
07/07/2023 13:28:20:180;345.997;0;0;;;0.0907317;0;0;;;31.3843;0;0
07/07/2023 13:28:20:575;345.997;0;0;;;0.0907317;0;0;;;31.4777;0;0
07/07/2023 13:28:20:960;345.998;0;0;;;0.091412;0;0;;;31.6883;0;0
07/07/2023 13:28:21:005;345.998;0;0;;;0.091412;0;0;;;31.6883;0;0
07/07/2023 13:28:21:401;345.998;0;0;;;0.0917177;0;0;;;31.6956;0;0
07/07/2023 13:28:21:848;345.998;0;0;;;0.0917177;0;0;;;31.6172;0;0
07/07/2023 13:28:22:217;345.998;0;0;;;0.0919224;0;0;;;31.9045;0;0
07/07/2023 13:28:22:591;345.998;0;0;;;0.0919224;0;0;;;31.8797;0;0
07/07/2023 13:28:22:984;345.997;0;0;;;0.0919114;0;0;;;31.7572;0;0
07/07/2023 13:28:23:434;345.998;0;0;;;0.0912287;0;0;;;31.5769;0;0
07/07/2023 13:28:23:848;345.997;7.6116e-311;7.6116e-311;;;0.0903063;7.6116e-311;7.6116e-311;;;31.2982;7.6116e-311;7.6116e-311
07/07/2023 13:28:24:210;345.997;7.62009e-311;7.62009e-311;;;0.0912499;7.62009e-311;7.62009e-311;;;31.5943;7.62009e-311;7.62009e-311
07/07/2023 13:28:24:615;345.997;7.62857e-311;7.62857e-311;;;0.0912499;7.62857e-311;7.62857e-311;;;31.5943;7.62857e-311;7.62857e-311
07/07/2023 13:28:25:141;345.998;7.63706e-311;7.63706e-311;;;0.0913312;7.63706e-311;7.63706e-311;;;31.6243;7.63706e-311;7.63706e-311
07/07/2023 13:28:25:453;345.997;7.64555e-311;7.64555e-311;;;0.0913312;7.64555e-311;7.64555e-311;;;31.6205;7.64555e-311;7.64555e-311
07/07/2023 13:28:25:832;345.998;7.65404e-311;7.65404e-311;;;0.0914823;7.65404e-311;7.65404e-311;;;31.6331;7.65404e-311;7.65404e-311
07/07/2023 13:28:26:252;345.998;7.66253e-311;7.66253e-311;;;0.0914456;7.66253e-311;7.66253e-311;;;31.7076;7.66253e-311;7.66253e-311
07/07/2023 13:28:26:448;345.998;7.67101e-311;7.67101e-311;;;0.0914456;7.67101e-311;7.67101e-311;;;31.7076;7.67101e-311;7.67101e-311
07/07/2023 13:28:26:677;345.997;7.6795e-311;7.6795e-311;;;0.0911755;7.6795e-311;7.6795e-311;;;31.516;7.6795e-311;7.6795e-311
07/07/2023 13:28:27:068;345.997;7.68799e-311;7.68799e-311;;;0.0911755;7.68799e-311;7.68799e-311;;;31.516;7.68799e-311;7.68799e-311
07/07/2023 13:28:27:476;345.997;7.69648e-311;7.69648e-311;;;0.0909711;7.69648e-311;7.69648e-311;;;31.5278;7.69648e-311;7.69648e-311
07/07/2023 13:28:27:851;345.996;7.70497e-311;7.70497e-311;;;0.0902104;7.70497e-311;7.70497e-311;;;31.2586;7.70497e-311;7.70497e-311
07/07/2023 13:28:28:302;345.997;7.71345e-311;7.71345e-311;;;0.0881666;7.71345e-311;7.71345e-311;;;30.5268;7.71345e-311;7.71345e-311
07/07/2023 13:28:28:687;345.997;7.72194e-311;7.72194e-311;;;0.0881666;7.72194e-311;7.72194e-311;;;30.5268;7.72194e-311;7.72194e-311
07/07/2023 13:28:29:105;345.997;1.79939e-320;1.79939e-320;;;0.0900681;1.79939e-320;1.79939e-320;;;31.0286;1.79939e-320;1.79939e-320
07/07/2023 13:28:29:500;345.999;7.73892e-311;7.73892e-311;;;0.0893442;7.73892e-311;7.73892e-311;;;30.926;7.73892e-311;7.73892e-311
07/07/2023 13:28:29:953;345.997;7.74741e-311;7.74741e-311;;;0.0915845;7.74741e-311;7.74741e-311;;;31.7752;7.74741e-311;7.74741e-311
07/07/2023 13:28:30:323;345.996;7.75589e-311;7.75589e-311;;;0.0910236;7.75589e-311;7.75589e-311;;;31.5285;7.75589e-311;7.75589e-311
07/07/2023 13:28:30:694;345.996;7.76438e-311;7.76438e-311;;;0.0910236;7.76438e-311;7.76438e-311;;;31.5285;7.76438e-311;7.76438e-311
07/07/2023 13:28:30:726;345.998;7.77287e-311;7.77287e-311;;;0.0920353;7.77287e-311;7.77287e-311;;;31.8523;7.77287e-311;7.77287e-311
07/07/2023 13:28:31:099;345.998;7.78136e-311;7.78136e-311;;;0.0920353;7.78136e-311;7.78136e-311;;;31.8523;7.78136e-311;7.78136e-311
07/07/2023 13:28:31:519;345.996;7.78985e-311;7.78985e-311;;;0.0919755;7.78985e-311;7.78985e-311;;;31.8871;7.78985e-311;7.78985e-311
07/07/2023 13:28:31:736;345.998;7.79833e-311;7.79833e-311;;;0.0917112;7.79833e-311;7.79833e-311;;;31.7422;7.79833e-311;7.79833e-311
07/07/2023 13:28:31:960;345.998;0;0;;;0.0917112;0;0;;;31.7422;0;0
07/07/2023 13:28:32:145;345.998;1.78715e+161;1.78715e+161;;;0.0918268;1.78715e+161;1.78715e+161;;;31.7439;1.78715e+161;1.78715e+161
07/07/2023 13:28:32:349;345.998;0;0;;;0.0918268;0;0;;;31.7397;0;0
07/07/2023 13:28:32:542;345.998;1.9098e-313;1.9098e-313;;;0.0918268;1.9098e-313;1.9098e-313;;;31.7397;1.9098e-313;1.9098e-313
07/07/2023 13:28:32:762;345.997;2.8707e-306;2.8707e-306;;;0.0911222;2.8707e-306;2.8707e-306;;;31.5843;2.8707e-306;2.8707e-306
07/07/2023 13:28:33:132;345.997;4.72853e-307;4.72853e-307;;;0.0911222;4.72853e-307;4.72853e-307;;;31.5843;4.72853e-307;4.72853e-307
