Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
05/07/2023 17:20:18:532;345.998;0;0;;;0.0887948;0;0;;;30.6659;0;0
05/07/2023 17:20:18:542;345.998;0;0;;;0.0887948;0;0;;;30.6659;0;0
05/07/2023 17:20:19:585;345.998;0;0;;;0.0882611;0;0;;;30.6272;0;0
05/07/2023 17:20:19:588;345.998;0;0;;;0.0882611;0;0;;;30.6272;0;0
05/07/2023 17:20:20:779;345.997;0;0;;;0.0897397;0;0;;;31.0371;0;0
05/07/2023 17:20:20:782;345.997;0;0;;;0.0897397;0;0;;;31.0371;0;0
05/07/2023 17:20:21:762;345.997;0;0;;;0.0886692;0;0;;;30.7263;0;0
05/07/2023 17:20:21:765;345.997;0;0;;;0.0886692;0;0;;;30.7263;0;0
05/07/2023 17:20:22:808;345.996;0;0;;;0.0893928;0;0;;;30.9158;0;0
05/07/2023 17:20:22:809;345.996;0;0;;;0.0893928;0;0;;;30.9158;0;0
05/07/2023 17:20:23:789;345.997;7.6116e-311;7.6116e-311;;;0.089478;7.6116e-311;7.6116e-311;;;30.9685;7.6116e-311;7.6116e-311
05/07/2023 17:20:23:790;345.997;7.62009e-311;7.62009e-311;;;0.089478;7.62009e-311;7.62009e-311;;;30.9685;7.62009e-311;7.62009e-311
05/07/2023 17:20:24:834;345.997;7.62857e-311;7.62857e-311;;;0.0890714;7.62857e-311;7.62857e-311;;;30.9417;7.62857e-311;7.62857e-311
05/07/2023 17:20:24:836;345.997;7.63706e-311;7.63706e-311;;;0.0890714;7.63706e-311;7.63706e-311;;;30.9417;7.63706e-311;7.63706e-311
05/07/2023 17:20:25:828;345.998;7.64555e-311;7.64555e-311;;;0.0891707;7.64555e-311;7.64555e-311;;;31.0024;7.64555e-311;7.64555e-311
05/07/2023 17:20:25:834;345.998;7.65404e-311;7.65404e-311;;;0.0891707;7.65404e-311;7.65404e-311;;;31.0024;7.65404e-311;7.65404e-311
05/07/2023 17:20:26:862;345.998;7.66253e-311;7.66253e-311;;;0.086904;7.66253e-311;7.66253e-311;;;30.3896;7.66253e-311;7.66253e-311
05/07/2023 17:20:26:865;345.998;7.67101e-311;7.67101e-311;;;0.086904;7.67101e-311;7.67101e-311;;;30.3896;7.67101e-311;7.67101e-311
05/07/2023 17:20:27:852;345.997;7.6795e-311;7.6795e-311;;;0.0895584;7.6795e-311;7.6795e-311;;;31.0183;7.6795e-311;7.6795e-311
05/07/2023 17:20:27:855;345.997;7.68799e-311;7.68799e-311;;;0.0895584;7.68799e-311;7.68799e-311;;;31.0183;7.68799e-311;7.68799e-311
05/07/2023 17:20:28:884;345.997;7.69648e-311;7.69648e-311;;;0.0877572;7.69648e-311;7.69648e-311;;;30.4686;7.69648e-311;7.69648e-311
05/07/2023 17:20:28:885;345.997;7.70497e-311;7.70497e-311;;;0.0877572;7.70497e-311;7.70497e-311;;;30.4686;7.70497e-311;7.70497e-311
05/07/2023 17:20:29:878;345.998;7.71345e-311;7.71345e-311;;;0.0896847;7.71345e-311;7.71345e-311;;;31.0527;7.71345e-311;7.71345e-311
05/07/2023 17:20:29:881;345.998;7.72194e-311;7.72194e-311;;;0.0896847;7.72194e-311;7.72194e-311;;;31.0527;7.72194e-311;7.72194e-311
05/07/2023 17:20:30:994;345.998;1.79939e-320;1.79939e-320;;;0.0897555;1.79939e-320;1.79939e-320;;;31.0413;1.79939e-320;1.79939e-320
05/07/2023 17:20:30:997;345.998;7.73892e-311;7.73892e-311;;;0.0897555;7.73892e-311;7.73892e-311;;;31.0413;7.73892e-311;7.73892e-311
05/07/2023 17:20:32:161;345.997;7.74741e-311;7.74741e-311;;;0.087863;7.74741e-311;7.74741e-311;;;30.4818;7.74741e-311;7.74741e-311
