Datetime;Building Load (kWh);PV (kWh);Price (Euros/kWh);EV2 (A);EV2 (kW);EV0 (A);EV0 (kW);EV3 (A);EV3 (kW);EV1 (A);EV1 (kW)
21/03/2022 06:00;2.3362000000000003;0.0062;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 06:05;3.4688;0.0064;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 06:10;7.333799999999998;0.0052;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 06:15;9.9364;0.0054;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 06:20;8.617799999999999;0.0056;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 06:25;7.0204;0.005;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 06:30;7.170400000000001;0.005;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 06:35;7.1068;0.0052;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 06:40;8.106;0.0056;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 06:45;8.8596;0.004;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 06:50;10.828399999999998;-0.0438;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 06:55;10.223;-0.121;0.18685;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 07:00;10.081;-0.2592;0.264;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 07:05;12.1986;-0.4352;0.264;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 07:10;15.060199999999998;-0.616;0.264;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 07:15;12.700400000000002;-0.8234;0.264;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 07:20;11.9242;-1.0654;0.264;0.0;0.0;0;0.0;0;0.0;0.0;0.0
21/03/2022 07:25;11.9202;-1.3224;0.264;0.0;0.0;0;0.0;0;0.0;0.0;0.0
