Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
07/07/2023 14:18:04:526,345.997,0,0,,,0.0915702,0,0,,,31.7141,0,0
07/07/2023 14:18:05:589,345.996,0,0,,,0.0905522,0,0,,,31.3551,0,0
07/07/2023 14:18:06:569,345.997,0,0,,,0.0899824,0,0,,,31.1584,0,0
07/07/2023 14:18:07:617,345.997,0,0,,,0.090354,0,0,,,31.2702,0,0
07/07/2023 14:18:08:628,345.998,0,0,,,0.0907205,0,0,,,31.4445,0,0
07/07/2023 14:18:09:647,345.998,0,0,,,0.0906371,0,0,,,31.387,0,0
07/07/2023 14:18:10:642,345.998,0,0,,,0.0904866,0,0,,,31.3504,0,0
07/07/2023 14:18:11:671,345.998,0,0,,,0.0912348,0,0,,,31.6131,0,0
07/07/2023 14:18:12:671,345.997,0,0,,,0.0915833,0,0,,,31.6914,0,0
07/07/2023 14:18:13:733,345.996,0,0,,,0.0911007,0,0,,,31.5059,0,0
07/07/2023 14:18:14:736,345.997,7.6116e-311,7.6116e-311,,,0.0900356,7.6116e-311,7.6116e-311,,,31.1718,7.6116e-311,7.6116e-311
07/07/2023 14:18:15:760,345.996,7.62009e-311,7.62009e-311,,,0.091421,7.62009e-311,7.62009e-311,,,31.6433,7.62009e-311,7.62009e-311
07/07/2023 14:18:16:767,345.996,7.62857e-311,7.62857e-311,,,0.0911884,7.62857e-311,7.62857e-311,,,31.5795,7.62857e-311,7.62857e-311
07/07/2023 14:18:17:790,345.997,7.63706e-311,7.63706e-311,,,0.0900907,7.63706e-311,7.63706e-311,,,31.2272,7.63706e-311,7.63706e-311
07/07/2023 14:18:18:805,345.997,7.64555e-311,7.64555e-311,,,0.0907861,7.64555e-311,7.64555e-311,,,31.4368,7.64555e-311,7.64555e-311
07/07/2023 14:18:19:828,345.997,7.65404e-311,7.65404e-311,,,0.0903108,7.65404e-311,7.65404e-311,,,31.2942,7.65404e-311,7.65404e-311
07/07/2023 14:18:20:836,345.997,7.66253e-311,7.66253e-311,,,0.090574,7.66253e-311,7.66253e-311,,,31.338,7.66253e-311,7.66253e-311
07/07/2023 14:18:21:842,345.997,7.67101e-311,7.67101e-311,,,0.0888367,7.67101e-311,7.67101e-311,,,30.7455,7.67101e-311,7.67101e-311
07/07/2023 14:18:22:832,345.996,7.6795e-311,7.6795e-311,,,0.091471,7.6795e-311,7.6795e-311,,,31.6802,7.6795e-311,7.6795e-311
