Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
05/07/2023 16:58:26:349,345.996,0,0,,,0.0895754,0,0,,,30.9647,0,0
05/07/2023 16:58:26:352,345.996,0,0,,,0.0895754,0,0,,,30.9647,0,0
05/07/2023 16:58:27:358,345.997,0,0,,,0.0897796,0,0,,,31.1425,0,0
05/07/2023 16:58:27:364,345.997,0,0,,,0.0897796,0,0,,,31.1425,0,0
05/07/2023 16:58:28:398,345.997,0,0,,,0.0898825,0,0,,,31.0509,0,0
05/07/2023 16:58:28:401,345.997,0,0,,,0.0898825,0,0,,,31.0509,0,0
05/07/2023 16:58:29:401,345.997,0,0,,,0.0889404,0,0,,,30.8334,0,0
05/07/2023 16:58:29:403,345.997,0,0,,,0.0889404,0,0,,,30.8334,0,0
05/07/2023 16:58:30:434,345.997,0,0,,,0.0882103,0,0,,,30.6118,0,0
05/07/2023 16:58:30:436,345.997,0,0,,,0.0882103,0,0,,,30.6118,0,0
05/07/2023 16:58:31:436,345.997,7.6116e-311,7.6116e-311,,,0.0893557,7.6116e-311,7.6116e-311,,,30.9088,7.6116e-311,7.6116e-311
05/07/2023 16:58:31:437,345.997,7.62009e-311,7.62009e-311,,,0.0893557,7.62009e-311,7.62009e-311,,,30.9088,7.62009e-311,7.62009e-311
05/07/2023 16:58:32:461,345.998,7.62857e-311,7.62857e-311,,,0.0896924,7.62857e-311,7.62857e-311,,,31.1211,7.62857e-311,7.62857e-311
05/07/2023 16:58:32:464,345.998,7.63706e-311,7.63706e-311,,,0.0896924,7.63706e-311,7.63706e-311,,,31.1211,7.63706e-311,7.63706e-311
05/07/2023 16:58:33:467,345.997,7.64555e-311,7.64555e-311,,,0.0894466,7.64555e-311,7.64555e-311,,,30.9563,7.64555e-311,7.64555e-311
05/07/2023 16:58:33:470,345.997,7.65404e-311,7.65404e-311,,,0.0894466,7.65404e-311,7.65404e-311,,,30.9563,7.65404e-311,7.65404e-311
