Unnamed: 0,Datetime,Iset,Igrid_avg,Vgrid_avg,Icharger,Vcharger
,2023-07-05 16:58:35,0.0,1.2,229.3,0.1,347.1
,2023-07-05 16:58:37,0.0,2.5,229.4,0.1,347.1
,2023-07-05 16:58:40,0.0,0.3,229.4,0.1,347.1
,2023-07-05 16:58:42,0.0,0.3,229.4,0.1,347.1
,2023-07-05 16:58:44,0.0,0.3,229.4,0.1,347.1
,2023-07-05 16:58:46,0.0,0.3,229.4,0.1,347.1
,2023-07-05 16:58:49,0.0,0.3,229.8,0.1,347.1
,2023-07-05 16:58:51,0.0,0.3,229.8,0.1,347.1
,2023-07-05 16:58:53,0.0,0.3,229.9,0.1,347.1
,2023-07-05 16:58:55,0.0,0.3,229.8,0.1,347.1
,2023-07-05 16:58:58,0.0,0.3,229.9,0.1,347.1
,2023-07-05 16:59:00,0.0,0.3,229.8,0.1,347.1
,2023-07-05 16:59:02,0.0,0.3,229.8,0.1,347.1
,2023-07-05 16:59:04,0.0,0.3,229.9,0.1,347.1
,2023-07-05 16:59:06,0.0,0.3,229.9,0.1,347.1
,2023-07-05 16:59:09,0.0,0.3,229.9,0.1,347.1
,2023-07-05 16:59:11,0.0,0.3,229.9,0.1,347.1
,2023-07-05 16:59:13,0.0,0.3,229.9,0.1,347.1
,2023-07-05 16:59:15,0.0,0.3,229.9,0.1,347.1
,2023-07-05 16:59:18,0.0,0.3,229.9,0.1,347.1
,2023-07-05 16:59:20,8.61,0.3,229.7,0.1,347.3
,2023-07-05 16:59:23,6.0,4.5,229.0,8.6,347.5
,2023-07-05 16:59:26,6.0,3.2,229.1,6.1,347.3
,2023-07-05 16:59:29,12.83,3.2,229.0,6.4,347.5
,2023-07-05 16:59:32,6.0,6.7,228.4,12.9,347.9
,2023-07-05 16:59:35,6.0,3.2,228.9,6.0,347.5
,2023-07-05 16:59:38,6.0,3.2,229.0,6.0,347.3
,2023-07-05 16:59:41,6.0,3.2,229.1,6.1,347.5
,2023-07-05 16:59:44,6.0,3.2,228.9,6.0,347.5
,2023-07-05 16:59:48,6.0,3.2,228.9,6.0,347.5
,2023-07-05 16:59:51,6.0,3.2,228.8,6.0,347.5
,2023-07-05 16:59:55,6.0,3.2,228.7,6.0,347.5
,2023-07-05 16:59:59,6.7,3.2,228.4,6.0,347.5
,2023-07-05 17:00:02,7.67,3.5,228.2,6.7,347.5
,2023-07-05 17:00:06,6.47,4.0,228.1,7.6,347.5
,2023-07-05 17:00:09,7.6,3.4,228.5,6.4,347.5
,2023-07-05 17:00:13,19.95,4.0,228.4,7.6,347.5
,2023-07-05 17:00:17,20.0,10.4,227.2,20.1,348.2
,2023-07-05 17:00:20,20.0,10.5,227.2,20.2,348.2
,2023-07-05 17:00:24,20.0,10.5,227.1,20.2,348.2
,2023-07-05 17:00:27,19.85,10.5,227.2,20.1,348.2
,2023-07-05 17:00:31,20.0,10.4,227.1,20.0,348.2
,2023-07-05 17:00:34,20.0,10.5,227.2,20.2,348.2
,2023-07-05 17:00:38,20.0,10.5,227.2,20.1,348.4
,2023-07-05 17:00:42,20.0,10.5,227.1,20.2,348.2
,2023-07-05 17:00:45,20.0,10.5,227.0,20.2,348.2
,2023-07-05 17:00:49,20.0,10.5,227.1,20.1,348.4
,2023-07-05 17:00:52,20.0,10.5,227.1,20.2,348.4
,2023-07-05 17:00:56,20.0,10.5,227.0,20.2,348.4
,2023-07-05 17:01:00,20.0,10.5,227.0,20.2,348.4
,2023-07-05 17:01:03,20.0,10.5,227.0,20.2,348.4
,2023-07-05 17:01:07,20.0,10.5,226.9,20.2,348.4
,2023-07-05 17:01:10,20.0,10.5,227.0,20.2,348.4
,2023-07-05 17:01:14,20.0,10.5,227.1,20.2,348.4
,2023-07-05 17:01:17,20.0,10.5,226.9,20.2,348.4
,2023-07-05 17:01:21,20.0,10.5,227.1,20.2,348.6
,2023-07-05 17:01:24,20.0,10.5,227.1,20.2,348.4
,2023-07-05 17:01:28,20.0,10.5,227.2,20.2,348.6
,2023-07-05 17:01:32,20.0,10.5,227.1,20.2,348.4
,2023-07-05 17:01:36,20.0,10.5,227.0,20.2,348.4
,2023-07-05 17:01:39,20.0,10.5,227.0,20.2,348.6
,2023-07-05 17:01:43,20.0,10.5,227.1,20.2,348.6
,2023-07-05 17:01:47,20.0,10.5,227.0,20.2,348.6
,2023-07-05 17:01:53,20.0,10.5,227.1,20.1,348.6
,2023-07-05 17:01:57,20.0,10.5,227.0,20.2,348.4
,2023-07-05 17:02:00,20.0,10.5,227.1,20.1,348.6
,2023-07-05 17:02:04,20.0,10.5,226.9,20.2,348.6
,2023-07-05 17:02:07,20.0,10.5,226.9,20.2,348.8
,2023-07-05 17:02:11,20.0,10.5,226.9,20.2,348.8
,2023-07-05 17:02:14,20.0,10.5,226.9,20.2,348.8
,2023-07-05 17:02:18,20.0,10.5,226.9,20.2,348.8
,2023-07-05 17:02:21,20.0,10.5,226.9,20.2,348.8
,2023-07-05 17:02:25,20.0,10.5,227.3,20.2,348.6
,2023-07-05 17:02:28,20.0,10.5,227.3,20.2,348.8
,2023-07-05 17:02:31,20.0,10.5,227.4,20.2,348.6
,2023-07-05 17:02:35,20.0,10.5,227.4,20.1,348.6
,2023-07-05 17:02:39,20.0,10.5,227.3,20.2,348.8
,2023-07-05 17:02:45,20.0,10.5,227.5,20.2,348.8
,2023-07-05 17:02:49,20.0,10.5,227.2,20.2,348.8
,2023-07-05 17:02:53,20.0,10.5,226.9,20.2,349.0
,2023-07-05 17:02:56,20.0,10.5,226.5,20.2,348.8
,2023-07-05 17:02:59,20.0,10.5,226.4,20.2,348.8
,2023-07-05 17:03:02,20.0,10.5,226.4,20.2,348.8
