Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
05/07/2023 14:16:09:384,345.997,0,0,,,0.0889754,0,0,,,30.7335,0,0
05/07/2023 14:16:10:469,345.997,0,0,,,0.0897228,0,0,,,31.0489,0,0
05/07/2023 14:16:11:423,345.997,0,0,,,0.0870007,0,0,,,30.734,0,0
05/07/2023 14:16:12:446,345.996,0,0,,,0.0899807,0,0,,,31.046,0,0
05/07/2023 14:16:13:450,345.997,0,0,,,0.090392,0,0,,,31.2695,0,0
05/07/2023 14:16:14:519,345.997,0,0,,,0.0899114,0,0,,,31.1906,0,0
05/07/2023 14:16:15:690,345.997,0,0,,,0.0884711,0,0,,,30.7314,0,0
05/07/2023 14:16:16:700,345.996,0,0,,,0.0890135,0,0,,,30.9035,0,0
05/07/2023 14:16:17:750,345.997,0,0,,,0.0892623,0,0,,,30.9014,0,0
05/07/2023 14:16:18:930,345.997,0,0,,,0.0901518,0,0,,,31.1123,0,0
05/07/2023 14:16:19:954,345.996,7.6116e-311,7.6116e-311,,,0.0904406,7.6116e-311,7.6116e-311,,,31.271,7.6116e-311,7.6116e-311
05/07/2023 14:16:21:000,345.996,7.62009e-311,7.62009e-311,,,0.0887904,7.62009e-311,7.62009e-311,,,30.6878,7.62009e-311,7.62009e-311
05/07/2023 14:16:21:997,345.996,7.62857e-311,7.62857e-311,,,0.0897788,7.62857e-311,7.62857e-311,,,30.9897,7.62857e-311,7.62857e-311
05/07/2023 14:16:23:204,345.996,7.63706e-311,7.63706e-311,,,0.088612,7.63706e-311,7.63706e-311,,,30.6998,7.63706e-311,7.63706e-311
05/07/2023 14:16:24:198,345.997,7.64555e-311,7.64555e-311,,,0.0893862,7.64555e-311,7.64555e-311,,,30.9581,7.64555e-311,7.64555e-311
05/07/2023 14:16:25:247,345.997,7.65404e-311,7.65404e-311,,,0.0895663,7.65404e-311,7.65404e-311,,,31.0521,7.65404e-311,7.65404e-311
05/07/2023 14:16:26:061,345.997,7.66253e-311,7.66253e-311,,,0.0886696,7.66253e-311,7.66253e-311,,,30.7664,7.66253e-311,7.66253e-311
05/07/2023 14:16:27:061,345.995,7.67101e-311,7.67101e-311,,,0.0897787,7.67101e-311,7.67101e-311,,,31.1398,7.67101e-311,7.67101e-311
05/07/2023 14:16:28:059,345.996,7.6795e-311,7.6795e-311,,,0.0889021,7.6795e-311,7.6795e-311,,,30.7935,7.6795e-311,7.6795e-311
05/07/2023 14:16:29:108,345.996,7.68799e-311,7.68799e-311,,,0.0895886,7.68799e-311,7.68799e-311,,,31.0136,7.68799e-311,7.68799e-311
05/07/2023 14:16:30:108,345.996,7.69648e-311,7.69648e-311,,,0.0886311,7.69648e-311,7.69648e-311,,,30.6904,7.69648e-311,7.69648e-311
05/07/2023 14:16:31:134,345.996,7.70497e-311,7.70497e-311,,,0.0897069,7.70497e-311,7.70497e-311,,,31.0598,7.70497e-311,7.70497e-311
05/07/2023 14:16:32:128,345.995,7.71345e-311,7.71345e-311,,,0.0894284,7.71345e-311,7.71345e-311,,,31.0838,7.71345e-311,7.71345e-311
05/07/2023 14:16:33:157,345.996,7.72194e-311,7.72194e-311,,,0.0897398,7.72194e-311,7.72194e-311,,,31.1376,7.72194e-311,7.72194e-311
