Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
07/07/2023 13:58:16:348,345.998,0,0,,,0.0919878,0,0,,,31.8361,0,0
07/07/2023 13:58:16:622,345.998,0,0,,,0.0919878,0,0,,,31.8756,0,0
07/07/2023 13:58:16:654,345.997,0,0,,,0.0920196,0,0,,,31.9247,0,0
07/07/2023 13:58:17:019,345.997,0,0,,,0.0922024,0,0,,,31.9396,0,0
07/07/2023 13:58:17:211,345.997,0,0,,,0.0922024,0,0,,,31.9396,0,0
07/07/2023 13:58:17:430,345.997,0,0,,,0.0922024,0,0,,,31.815,0,0
07/07/2023 13:58:17:644,345.998,0,0,,,0.0918949,0,0,,,31.815,0,0
07/07/2023 13:58:17:858,345.998,0,0,,,0.0918949,0,0,,,31.7904,0,0
07/07/2023 13:58:18:038,345.998,0,0,,,0.0916903,0,0,,,31.7904,0,0
07/07/2023 13:58:18:250,345.998,0,0,,,0.0916903,0,0,,,31.7904,0,0
07/07/2023 13:58:18:446,345.998,7.6116e-311,7.6116e-311,,,0.0916903,7.6116e-311,7.6116e-311,,,31.8064,7.6116e-311,7.6116e-311
07/07/2023 13:58:18:661,345.997,7.62009e-311,7.62009e-311,,,0.0920545,7.62009e-311,7.62009e-311,,,31.8064,7.62009e-311,7.62009e-311
07/07/2023 13:58:19:049,345.997,7.62857e-311,7.62857e-311,,,0.0920545,7.62857e-311,7.62857e-311,,,31.7129,7.62857e-311,7.62857e-311
07/07/2023 13:58:19:095,345.996,7.63706e-311,7.63706e-311,,,0.091567,7.63706e-311,7.63706e-311,,,31.876,7.63706e-311,7.63706e-311
07/07/2023 13:58:19:464,345.996,7.64555e-311,7.64555e-311,,,0.091567,7.64555e-311,7.64555e-311,,,32.0388,7.64555e-311,7.64555e-311
07/07/2023 13:58:19:665,345.998,7.65404e-311,7.65404e-311,,,0.092457,7.65404e-311,7.65404e-311,,,32.0388,7.65404e-311,7.65404e-311
07/07/2023 13:58:19:882,345.998,7.66253e-311,7.66253e-311,,,0.092457,7.66253e-311,7.66253e-311,,,31.8249,7.66253e-311,7.66253e-311
07/07/2023 13:58:20:260,345.998,7.67101e-311,7.67101e-311,,,0.0920672,7.67101e-311,7.67101e-311,,,31.4132,7.67101e-311,7.67101e-311
07/07/2023 13:58:20:671,345.997,7.6795e-311,7.6795e-311,,,0.0904616,7.6795e-311,7.6795e-311,,,31.4132,7.6795e-311,7.6795e-311
07/07/2023 13:58:20:891,345.997,7.68799e-311,7.68799e-311,,,0.0904616,7.68799e-311,7.68799e-311,,,31.6554,7.68799e-311,7.68799e-311
