Unnamed: 0,Datetime,Iset,Igrid_avg,Vgrid_avg,Icharger,Vcharger
,2023-07-07 13:58:28,0,1.2,230.6,0.1,347.1
,2023-07-07 13:58:31,0,2.5,230.6,0.1,347.1
,2023-07-07 13:58:33,0,0.3,230.5,0.1,347.1
,2023-07-07 13:58:35,0,0.3,230.5,0.1,347.1
,2023-07-07 13:58:37,0,0.3,230.5,0.1,347.1
,2023-07-07 13:58:40,0,0.3,230.6,0.1,347.1
,2023-07-07 13:58:42,0,0.3,230.5,0.1,346.9
,2023-07-07 13:58:44,0,0.3,230.6,0.1,347.1
,2023-07-07 13:58:46,0,0.3,230.7,0.1,347.1
,2023-07-07 13:58:48,0,0.3,230.8,0.1,347.1
,2023-07-07 13:58:51,0,0.3,230.7,0.1,347.1
,2023-07-07 13:58:53,0,0.3,230.7,0.1,347.1
,2023-07-07 13:58:55,0,0.3,230.6,0.1,347.1
,2023-07-07 13:58:57,0,0.3,230.6,0.1,346.9
,2023-07-07 13:59:00,0,0.3,230.6,0.1,347.1
,2023-07-07 13:59:02,0,0.3,230.6,0.1,347.1
,2023-07-07 13:59:04,0,0.3,230.7,0.1,347.1
,2023-07-07 13:59:06,0,0.3,230.6,0.1,347.1
,2023-07-07 13:59:08,0,0.0,0.0,0.0,0.0
,2023-07-07 13:59:11,0,0.3,230.6,0.1,347.1
,2023-07-07 13:59:13,20,0.3,230.6,0.1,346.9
,2023-07-07 13:59:15,20,10.4,229.0,20.1,348.1
,2023-07-07 13:59:18,20,10.4,229.1,20.2,348.1
,2023-07-07 13:59:20,20,10.4,229.2,20.1,348.1
,2023-07-07 13:59:22,20,10.4,229.3,20.2,348.1
,2023-07-07 13:59:25,20,10.4,229.3,20.2,348.2
,2023-07-07 13:59:27,20,10.4,229.4,20.2,348.2
,2023-07-07 13:59:29,20,10.4,229.3,20.2,348.2
,2023-07-07 13:59:31,20,10.4,229.2,20.2,348.2
,2023-07-07 13:59:34,20,10.4,229.3,20.2,348.1
,2023-07-07 13:59:36,20,10.4,229.3,20.2,348.2
,2023-07-07 13:59:38,20,10.4,229.3,20.2,348.2
,2023-07-07 13:59:41,20,10.4,229.3,20.2,348.2
,2023-07-07 13:59:43,20,10.4,229.2,20.2,348.1
,2023-07-07 13:59:45,20,10.4,229.1,20.2,348.4
,2023-07-07 13:59:48,20,10.4,229.2,20.2,348.2
