Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
30/06/2023 11:57:07:845;345.997;0;0;;;0.0852596;0;0;;;29.5381;0;0
30/06/2023 11:57:07:848;345.997;0;0;;;0.0852596;0;0;;;29.5381;0;0
30/06/2023 11:57:08:069;345.997;0;0;;;0.0852596;0;0;;;29.5381;0;0
30/06/2023 11:57:08:072;345.997;0;0;;;0.0852596;0;0;;;29.5381;0;0
30/06/2023 11:57:08:434;345.997;0;0;;;0.0850307;0;0;;;29.399;0;0
30/06/2023 11:57:08:437;345.997;0;0;;;0.0850307;0;0;;;29.399;0;0
30/06/2023 11:57:08:852;345.997;0;0;;;0.0822155;0;0;;;28.4559;0;0
30/06/2023 11:57:08:855;345.997;0;0;;;0.0822155;0;0;;;28.4559;0;0
30/06/2023 11:57:09:062;345.997;0;0;;;0.0822155;0;0;;;28.4559;0;0
30/06/2023 11:57:09:065;345.997;0;0;;;0.0822155;0;0;;;28.4559;0;0
30/06/2023 11:57:09:286;345.998;7.6116e-311;7.6116e-311;;;0.0847445;7.6116e-311;7.6116e-311;;;29.3184;7.6116e-311;7.6116e-311
30/06/2023 11:57:09:289;345.998;7.62009e-311;7.62009e-311;;;0.0847445;7.62009e-311;7.62009e-311;;;29.3184;7.62009e-311;7.62009e-311
30/06/2023 11:57:09:648;345.998;7.62857e-311;7.62857e-311;;;0.0847445;7.62857e-311;7.62857e-311;;;29.3184;7.62857e-311;7.62857e-311
30/06/2023 11:57:09:651;345.998;7.63706e-311;7.63706e-311;;;0.0847445;7.63706e-311;7.63706e-311;;;29.3184;7.63706e-311;7.63706e-311
30/06/2023 11:57:09:697;345.998;7.64555e-311;7.64555e-311;;;0.0847445;7.64555e-311;7.64555e-311;;;29.3184;7.64555e-311;7.64555e-311
30/06/2023 11:57:09:700;345.998;7.65404e-311;7.65404e-311;;;0.0847445;7.65404e-311;7.65404e-311;;;29.3184;7.65404e-311;7.65404e-311
30/06/2023 11:57:10:084;345.998;7.66253e-311;7.66253e-311;;;0.0846327;7.66253e-311;7.66253e-311;;;29.3039;7.66253e-311;7.66253e-311
30/06/2023 11:57:10:086;345.998;7.67101e-311;7.67101e-311;;;0.0846327;7.67101e-311;7.67101e-311;;;29.3039;7.67101e-311;7.67101e-311
30/06/2023 11:57:10:450;345.997;7.6795e-311;7.6795e-311;;;0.0840518;7.6795e-311;7.6795e-311;;;29.084;7.6795e-311;7.6795e-311
30/06/2023 11:57:10:451;345.997;7.68799e-311;7.68799e-311;;;0.0840518;7.68799e-311;7.68799e-311;;;29.084;7.68799e-311;7.68799e-311
30/06/2023 11:57:10:904;345.996;7.69648e-311;7.69648e-311;;;0.084615;7.69648e-311;7.69648e-311;;;29.3102;7.69648e-311;7.69648e-311
30/06/2023 11:57:10:907;345.996;7.70497e-311;7.70497e-311;;;0.084615;7.70497e-311;7.70497e-311;;;29.3102;7.70497e-311;7.70497e-311
30/06/2023 11:57:11:276;345.996;7.71345e-311;7.71345e-311;;;0.084615;7.71345e-311;7.71345e-311;;;29.3102;7.71345e-311;7.71345e-311
30/06/2023 11:57:11:279;345.996;7.72194e-311;7.72194e-311;;;0.084615;7.72194e-311;7.72194e-311;;;29.3102;7.72194e-311;7.72194e-311
30/06/2023 11:57:11:732;345.996;1.79939e-320;1.79939e-320;;;0.0846668;1.79939e-320;1.79939e-320;;;29.2792;1.79939e-320;1.79939e-320
30/06/2023 11:57:11:736;345.996;7.73892e-311;7.73892e-311;;;0.0846668;7.73892e-311;7.73892e-311;;;29.2792;7.73892e-311;7.73892e-311
30/06/2023 11:57:12:124;345.997;7.74741e-311;7.74741e-311;;;0.0843672;7.74741e-311;7.74741e-311;;;29.2211;7.74741e-311;7.74741e-311
30/06/2023 11:57:12:127;345.997;7.75589e-311;7.75589e-311;;;0.0843672;7.75589e-311;7.75589e-311;;;29.2211;7.75589e-311;7.75589e-311
30/06/2023 11:57:12:506;345.997;7.76438e-311;7.76438e-311;;;0.0827898;7.76438e-311;7.76438e-311;;;28.6792;7.76438e-311;7.76438e-311
30/06/2023 11:57:12:509;345.997;7.77287e-311;7.77287e-311;;;0.0827898;7.77287e-311;7.77287e-311;;;28.6792;7.77287e-311;7.77287e-311
30/06/2023 11:57:12:951;345.997;7.78136e-311;7.78136e-311;;;0.0817436;7.78136e-311;7.78136e-311;;;28.3029;7.78136e-311;7.78136e-311
30/06/2023 11:57:12:954;345.997;7.78985e-311;7.78985e-311;;;0.0817436;7.78985e-311;7.78985e-311;;;28.3029;7.78985e-311;7.78985e-311
30/06/2023 11:57:13:381;345.997;7.79833e-311;7.79833e-311;;;0.0843729;7.79833e-311;7.79833e-311;;;29.2502;7.79833e-311;7.79833e-311
30/06/2023 11:57:13:384;345.997;0;0;;;0.0843729;0;0;;;29.2502;0;0
30/06/2023 11:57:13:765;345.997;1.78715e+161;1.78715e+161;;;0.0847353;1.78715e+161;1.78715e+161;;;29.3355;1.78715e+161;1.78715e+161
30/06/2023 11:57:13:769;345.997;0;0;;;0.0847353;0;0;;;29.3355;0;0
30/06/2023 11:57:14:171;345.997;1.9098e-313;1.9098e-313;;;0.0847353;1.9098e-313;1.9098e-313;;;29.3355;1.9098e-313;1.9098e-313
30/06/2023 11:57:14:174;345.997;2.8707e-306;2.8707e-306;;;0.0847353;2.8707e-306;2.8707e-306;;;29.3355;2.8707e-306;2.8707e-306
30/06/2023 11:57:14:565;345.998;4.72853e-307;4.72853e-307;;;0.0844143;4.72853e-307;4.72853e-307;;;29.2146;4.72853e-307;4.72853e-307
30/06/2023 11:57:14:569;345.998;2.36475e-308;2.36475e-308;;;0.0844143;2.36475e-308;2.36475e-308;;;29.2146;2.36475e-308;2.36475e-308
30/06/2023 11:57:14:937;345.996;4.72828e-307;4.72828e-307;;;0.0845709;4.72828e-307;4.72828e-307;;;29.277;4.72828e-307;4.72828e-307
30/06/2023 11:57:14:940;345.996;8.285e-317;8.285e-317;;;0.0845709;8.285e-317;8.285e-317;;;29.277;8.285e-317;8.285e-317
30/06/2023 11:57:15:378;345.997;0;0;;;0.0829883;0;0;;;28.7403;0;0
30/06/2023 11:57:15:381;345.997;0;0;;;0.0829883;0;0;;;28.7403;0;0
30/06/2023 11:57:15:558;345.997;1.50202e-307;1.50202e-307;;;0.0829883;1.50202e-307;1.50202e-307;;;28.7403;1.50202e-307;1.50202e-307
30/06/2023 11:57:15:561;345.997;1.50201e-307;1.50201e-307;;;0.0829883;1.50201e-307;1.50201e-307;;;28.7403;1.50201e-307;1.50201e-307
30/06/2023 11:57:15:796;345.997;1.50201e-307;1.50201e-307;;;0.0846177;1.50201e-307;1.50201e-307;;;29.261;1.50201e-307;1.50201e-307
30/06/2023 11:57:15:801;345.997;8.90104e-307;8.90104e-307;;;0.0846177;8.90104e-307;8.90104e-307;;;29.261;8.90104e-307;8.90104e-307
30/06/2023 11:57:16:180;345.997;7.56593e-307;7.56593e-307;;;0.0846177;7.56593e-307;7.56593e-307;;;29.261;7.56593e-307;7.56593e-307
30/06/2023 11:57:16:184;345.997;7.56593e-307;7.56593e-307;;;0.0846177;7.56593e-307;7.56593e-307;;;29.261;7.56593e-307;7.56593e-307
30/06/2023 11:57:16:381;345.996;1.69119e-306;1.69119e-306;;;0.0847121;1.69119e-306;1.69119e-306;;;29.3151;1.69119e-306;1.69119e-306
30/06/2023 11:57:16:384;345.996;1.60221e-306;1.60221e-306;;;0.0847121;1.60221e-306;1.60221e-306;;;29.3151;1.60221e-306;1.60221e-306
