Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
30/06/2023 10:34:36:747,345.994,0,0,,,0.0864541,0,0,,,29.904,0,0
30/06/2023 10:34:37:094,345.994,0,0,,,0.086779,0,0,,,29.9887,0,0
30/06/2023 10:34:37:290,345.994,0,0,,,0.086779,0,0,,,29.9887,0,0
30/06/2023 10:34:37:516,345.994,0,0,,,0.0865461,0,0,,,29.8857,0,0
30/06/2023 10:34:37:897,345.994,0,0,,,0.0865461,0,0,,,29.8857,0,0
30/06/2023 10:34:37:950,345.994,0,0,,,0.0865461,0,0,,,29.9869,0,0
30/06/2023 10:34:38:321,345.994,0,0,,,0.0870406,0,0,,,30.1392,0,0
30/06/2023 10:34:38:691,345.995,0,0,,,0.0865117,0,0,,,30.0162,0,0
30/06/2023 10:34:38:742,345.995,0,0,,,0.0865117,0,0,,,30.0162,0,0
30/06/2023 10:34:39:117,345.994,0,0,,,0.0826149,0,0,,,28.6271,0,0
30/06/2023 10:34:39:530,345.994,7.6116e-311,7.6116e-311,,,0.0826149,7.6116e-311,7.6116e-311,,,28.6271,7.6116e-311,7.6116e-311
30/06/2023 10:34:39:730,345.994,7.62009e-311,7.62009e-311,,,0.0847919,7.62009e-311,7.62009e-311,,,29.3788,7.62009e-311,7.62009e-311
30/06/2023 10:34:40:035,345.995,7.62857e-311,7.62857e-311,,,0.0869516,7.62857e-311,7.62857e-311,,,30.0756,7.62857e-311,7.62857e-311
30/06/2023 10:34:40:326,345.995,7.63706e-311,7.63706e-311,,,0.0869516,7.63706e-311,7.63706e-311,,,30.0756,7.63706e-311,7.63706e-311
30/06/2023 10:34:40:752,345.994,7.64555e-311,7.64555e-311,,,0.0863585,7.64555e-311,7.64555e-311,,,29.8489,7.64555e-311,7.64555e-311
30/06/2023 10:34:41:125,345.994,7.65404e-311,7.65404e-311,,,0.0863585,7.65404e-311,7.65404e-311,,,30.2359,7.65404e-311,7.65404e-311
30/06/2023 10:34:41:171,345.994,7.66253e-311,7.66253e-311,,,0.0874081,7.66253e-311,7.66253e-311,,,30.2359,7.66253e-311,7.66253e-311
30/06/2023 10:34:41:558,345.994,7.67101e-311,7.67101e-311,,,0.0874081,7.67101e-311,7.67101e-311,,,30.2359,7.67101e-311,7.67101e-311
30/06/2023 10:34:41:976,345.994,7.6795e-311,7.6795e-311,,,0.0864946,7.6795e-311,7.6795e-311,,,29.9863,7.6795e-311,7.6795e-311
30/06/2023 10:34:42:342,345.995,7.68799e-311,7.68799e-311,,,0.0864946,7.68799e-311,7.68799e-311,,,29.9863,7.68799e-311,7.68799e-311
30/06/2023 10:34:42:384,345.995,7.69648e-311,7.69648e-311,,,0.0864946,7.69648e-311,7.69648e-311,,,29.9863,7.69648e-311,7.69648e-311
30/06/2023 10:34:42:753,345.995,7.70497e-311,7.70497e-311,,,0.0859221,7.70497e-311,7.70497e-311,,,29.751,7.70497e-311,7.70497e-311
30/06/2023 10:34:42:796,345.995,7.71345e-311,7.71345e-311,,,0.0859221,7.71345e-311,7.71345e-311,,,29.751,7.71345e-311,7.71345e-311
30/06/2023 10:34:43:171,345.995,7.72194e-311,7.72194e-311,,,0.0834777,7.72194e-311,7.72194e-311,,,28.8311,7.72194e-311,7.72194e-311
30/06/2023 10:34:43:260,345.994,1.79939e-320,1.79939e-320,,,0.0834777,1.79939e-320,1.79939e-320,,,28.8311,1.79939e-320,1.79939e-320
30/06/2023 10:34:43:591,345.993,7.73892e-311,7.73892e-311,,,0.0858058,7.73892e-311,7.73892e-311,,,29.6357,7.73892e-311,7.73892e-311
30/06/2023 10:34:43:989,345.993,7.74741e-311,7.74741e-311,,,0.0858058,7.74741e-311,7.74741e-311,,,29.6357,7.74741e-311,7.74741e-311
30/06/2023 10:34:44:038,345.995,7.75589e-311,7.75589e-311,,,0.0857546,7.75589e-311,7.75589e-311,,,29.6819,7.75589e-311,7.75589e-311
30/06/2023 10:34:44:401,345.995,7.76438e-311,7.76438e-311,,,0.0857546,7.76438e-311,7.76438e-311,,,29.6819,7.76438e-311,7.76438e-311
30/06/2023 10:34:44:604,345.994,7.77287e-311,7.77287e-311,,,0.0851984,7.77287e-311,7.77287e-311,,,29.5479,7.77287e-311,7.77287e-311
30/06/2023 10:34:44:839,345.994,7.78136e-311,7.78136e-311,,,0.0851984,7.78136e-311,7.78136e-311,,,29.5479,7.78136e-311,7.78136e-311
30/06/2023 10:34:45:197,345.994,7.78985e-311,7.78985e-311,,,0.084387,7.78985e-311,7.78985e-311,,,29.248,7.78985e-311,7.78985e-311
30/06/2023 10:34:45:621,345.994,7.79833e-311,7.79833e-311,,,0.0844889,7.79833e-311,7.79833e-311,,,29.2261,7.79833e-311,7.79833e-311
30/06/2023 10:34:45:822,345.994,0,0,,,0.0844889,0,0,,,29.2261,0,0
30/06/2023 10:34:46:046,345.994,1.78715e+161,1.78715e+161,,,0.0855178,1.78715e+161,1.78715e+161,,,29.5478,1.78715e+161,1.78715e+161
30/06/2023 10:34:46:414,345.994,0,0,,,0.0855178,0,0,,,29.5478,0,0
30/06/2023 10:34:46:851,345.995,1.9098e-313,1.9098e-313,,,0.0863382,1.9098e-313,1.9098e-313,,,29.8262,1.9098e-313,1.9098e-313
30/06/2023 10:34:47:039,345.994,2.8707e-306,2.8707e-306,,,0.0867092,2.8707e-306,2.8707e-306,,,30.0043,2.8707e-306,2.8707e-306
30/06/2023 10:34:47:270,345.994,4.72853e-307,4.72853e-307,,,0.0867092,4.72853e-307,4.72853e-307,,,30.0043,4.72853e-307,4.72853e-307
30/06/2023 10:34:47:644,345.994,2.36475e-308,2.36475e-308,,,0.0867092,2.36475e-308,2.36475e-308,,,29.4855,2.36475e-308,2.36475e-308
30/06/2023 10:34:48:072,345.994,4.72828e-307,4.72828e-307,,,0.0855027,4.72828e-307,4.72828e-307,,,29.5971,4.72828e-307,4.72828e-307
30/06/2023 10:34:48:446,345.994,8.285e-317,8.285e-317,,,0.0855027,8.285e-317,8.285e-317,,,29.5971,8.285e-317,8.285e-317
30/06/2023 10:34:48:505,345.994,0,0,,,0.0859576,0,0,,,29.7401,0,0
30/06/2023 10:34:48:868,345.993,0,0,,,0.0859576,0,0,,,29.7401,0,0
30/06/2023 10:34:49:075,345.993,1.50202e-307,1.50202e-307,,,0.0855418,1.50202e-307,1.50202e-307,,,29.6412,1.50202e-307,1.50202e-307
30/06/2023 10:34:49:296,345.993,1.50201e-307,1.50201e-307,,,0.0855418,1.50201e-307,1.50201e-307,,,29.6412,1.50201e-307,1.50201e-307
30/06/2023 10:34:49:658,345.993,1.50201e-307,1.50201e-307,,,0.085296,1.50201e-307,1.50201e-307,,,29.594,1.50201e-307,1.50201e-307
30/06/2023 10:34:49:704,345.995,8.90104e-307,8.90104e-307,,,0.085296,8.90104e-307,8.90104e-307,,,29.594,8.90104e-307,8.90104e-307
30/06/2023 10:34:50:075,345.995,7.56593e-307,7.56593e-307,,,0.085296,7.56593e-307,7.56593e-307,,,29.594,7.56593e-307,7.56593e-307
30/06/2023 10:34:50:500,345.995,7.56593e-307,7.56593e-307,,,0.0861585,7.56593e-307,7.56593e-307,,,29.7814,7.56593e-307,7.56593e-307
30/06/2023 10:34:50:874,345.994,1.69119e-306,1.69119e-306,,,0.0861585,1.69119e-306,1.69119e-306,,,29.7814,1.69119e-306,1.69119e-306
30/06/2023 10:34:50:933,345.994,1.60221e-306,1.60221e-306,,,0.0861585,1.60221e-306,1.60221e-306,,,29.7814,1.60221e-306,1.60221e-306
30/06/2023 10:34:51:302,345.994,1.11261e-306,1.11261e-306,,,0.0862893,1.11261e-306,1.11261e-306,,,29.8566,1.11261e-306,1.11261e-306
30/06/2023 10:34:51:493,345.994,1.86922e-306,1.86922e-306,,,0.0862893,1.86922e-306,1.86922e-306,,,29.7692,1.86922e-306,1.86922e-306
