Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
30/06/2023 12:36:18:933,345.997,0,0,,,0.0860372,0,0,,,29.811,0,0
30/06/2023 12:36:18:936,345.997,0,0,,,0.0860372,0,0,,,29.811,0,0
30/06/2023 12:36:18:938,345.997,0,0,,,0.0860372,0,0,,,29.811,0,0
30/06/2023 12:36:19:118,345.997,0,0,,,0.0845515,0,0,,,29.3153,0,0
30/06/2023 12:36:19:121,345.997,0,0,,,0.0845515,0,0,,,29.3153,0,0
30/06/2023 12:36:19:124,345.997,0,0,,,0.0845515,0,0,,,29.3153,0,0
30/06/2023 12:36:19:335,345.997,0,0,,,0.0845515,0,0,,,29.3153,0,0
30/06/2023 12:36:19:338,345.997,0,0,,,0.0845515,0,0,,,29.3153,0,0
30/06/2023 12:36:19:341,345.997,0,0,,,0.0845515,0,0,,,29.3153,0,0
30/06/2023 12:36:19:540,345.995,0,0,,,0.084059,0,0,,,29.0322,0,0
30/06/2023 12:36:19:542,345.995,7.6116e-311,7.6116e-311,,,0.084059,7.6116e-311,7.6116e-311,,,29.0322,7.6116e-311,7.6116e-311
30/06/2023 12:36:19:546,345.995,7.62009e-311,7.62009e-311,,,0.084059,7.62009e-311,7.62009e-311,,,29.0322,7.62009e-311,7.62009e-311
30/06/2023 12:36:19:788,345.995,7.62857e-311,7.62857e-311,,,0.084059,7.62857e-311,7.62857e-311,,,29.0322,7.62857e-311,7.62857e-311
30/06/2023 12:36:19:792,345.995,7.63706e-311,7.63706e-311,,,0.084059,7.63706e-311,7.63706e-311,,,29.0322,7.63706e-311,7.63706e-311
30/06/2023 12:36:19:793,345.995,7.64555e-311,7.64555e-311,,,0.084059,7.64555e-311,7.64555e-311,,,29.0322,7.64555e-311,7.64555e-311
30/06/2023 12:36:20:140,345.995,7.65404e-311,7.65404e-311,,,0.084059,7.65404e-311,7.65404e-311,,,29.0322,7.65404e-311,7.65404e-311
30/06/2023 12:36:20:142,345.995,7.66253e-311,7.66253e-311,,,0.084059,7.66253e-311,7.66253e-311,,,29.0322,7.66253e-311,7.66253e-311
30/06/2023 12:36:20:144,345.995,7.67101e-311,7.67101e-311,,,0.084059,7.67101e-311,7.67101e-311,,,29.0322,7.67101e-311,7.67101e-311
30/06/2023 12:36:20:556,345.995,7.6795e-311,7.6795e-311,,,0.0850465,7.6795e-311,7.6795e-311,,,29.5015,7.6795e-311,7.6795e-311
30/06/2023 12:36:20:559,345.995,7.68799e-311,7.68799e-311,,,0.0850465,7.68799e-311,7.68799e-311,,,29.5015,7.68799e-311,7.68799e-311
30/06/2023 12:36:20:562,345.995,7.69648e-311,7.69648e-311,,,0.0850465,7.69648e-311,7.69648e-311,,,29.5015,7.69648e-311,7.69648e-311
30/06/2023 12:36:21:007,345.995,7.70497e-311,7.70497e-311,,,0.0850465,7.70497e-311,7.70497e-311,,,29.5015,7.70497e-311,7.70497e-311
30/06/2023 12:36:21:010,345.995,7.71345e-311,7.71345e-311,,,0.0850465,7.71345e-311,7.71345e-311,,,29.5015,7.71345e-311,7.71345e-311
30/06/2023 12:36:21:013,345.995,7.72194e-311,7.72194e-311,,,0.0850465,7.72194e-311,7.72194e-311,,,29.5015,7.72194e-311,7.72194e-311
30/06/2023 12:36:21:384,345.995,1.79939e-320,1.79939e-320,,,0.0845293,1.79939e-320,1.79939e-320,,,29.2351,1.79939e-320,1.79939e-320
30/06/2023 12:36:21:388,345.995,7.73892e-311,7.73892e-311,,,0.0845293,7.73892e-311,7.73892e-311,,,29.2351,7.73892e-311,7.73892e-311
30/06/2023 12:36:21:390,345.995,7.74741e-311,7.74741e-311,,,0.0845293,7.74741e-311,7.74741e-311,,,29.2351,7.74741e-311,7.74741e-311
30/06/2023 12:36:21:776,345.997,7.75589e-311,7.75589e-311,,,0.0845421,7.75589e-311,7.75589e-311,,,29.2136,7.75589e-311,7.75589e-311
30/06/2023 12:36:21:779,345.997,7.76438e-311,7.76438e-311,,,0.0845421,7.76438e-311,7.76438e-311,,,29.2136,7.76438e-311,7.76438e-311
30/06/2023 12:36:21:782,345.997,7.77287e-311,7.77287e-311,,,0.0845421,7.77287e-311,7.77287e-311,,,29.2136,7.77287e-311,7.77287e-311
30/06/2023 12:36:22:198,345.997,7.78136e-311,7.78136e-311,,,0.0818416,7.78136e-311,7.78136e-311,,,28.3675,7.78136e-311,7.78136e-311
30/06/2023 12:36:22:201,345.997,7.78985e-311,7.78985e-311,,,0.0818416,7.78985e-311,7.78985e-311,,,28.3675,7.78985e-311,7.78985e-311
30/06/2023 12:36:22:203,345.997,7.79833e-311,7.79833e-311,,,0.0818416,7.79833e-311,7.79833e-311,,,28.3675,7.79833e-311,7.79833e-311
30/06/2023 12:36:22:585,345.997,0,0,,,0.0818416,0,0,,,28.3675,0,0
30/06/2023 12:36:22:588,345.997,1.78715e+161,1.78715e+161,,,0.0818416,1.78715e+161,1.78715e+161,,,28.3675,1.78715e+161,1.78715e+161
30/06/2023 12:36:22:591,345.997,0,0,,,0.0818416,0,0,,,28.3675,0,0
30/06/2023 12:36:23:111,345.997,1.9098e-313,1.9098e-313,,,0.0841221,1.9098e-313,1.9098e-313,,,29.0733,1.9098e-313,1.9098e-313
30/06/2023 12:36:23:115,345.997,2.8707e-306,2.8707e-306,,,0.0841221,2.8707e-306,2.8707e-306,,,29.0733,2.8707e-306,2.8707e-306
30/06/2023 12:36:23:118,345.997,4.72853e-307,4.72853e-307,,,0.0841221,4.72853e-307,4.72853e-307,,,29.0733,4.72853e-307,4.72853e-307
30/06/2023 12:36:23:480,345.997,2.36475e-308,2.36475e-308,,,0.0841221,2.36475e-308,2.36475e-308,,,29.0733,2.36475e-308,2.36475e-308
30/06/2023 12:36:23:483,345.997,4.72828e-307,4.72828e-307,,,0.0841221,4.72828e-307,4.72828e-307,,,29.0733,4.72828e-307,4.72828e-307
30/06/2023 12:36:23:486,345.997,8.285e-317,8.285e-317,,,0.0841221,8.285e-317,8.285e-317,,,29.0733,8.285e-317,8.285e-317
30/06/2023 12:36:23:894,345.996,0,0,,,0.0853394,0,0,,,29.5264,0,0
30/06/2023 12:36:23:897,345.996,0,0,,,0.0853394,0,0,,,29.5264,0,0
30/06/2023 12:36:23:900,345.996,1.50202e-307,1.50202e-307,,,0.0853394,1.50202e-307,1.50202e-307,,,29.5264,1.50202e-307,1.50202e-307
30/06/2023 12:36:24:308,345.996,1.50201e-307,1.50201e-307,,,0.0845941,1.50201e-307,1.50201e-307,,,29.3471,1.50201e-307,1.50201e-307
30/06/2023 12:36:24:311,345.996,1.50201e-307,1.50201e-307,,,0.0845941,1.50201e-307,1.50201e-307,,,29.3471,1.50201e-307,1.50201e-307
30/06/2023 12:36:24:312,345.996,8.90104e-307,8.90104e-307,,,0.0845941,8.90104e-307,8.90104e-307,,,29.3471,8.90104e-307,8.90104e-307
30/06/2023 12:36:24:650,345.996,7.56593e-307,7.56593e-307,,,0.0855764,7.56593e-307,7.56593e-307,,,29.5334,7.56593e-307,7.56593e-307
30/06/2023 12:36:24:726,345.996,7.56593e-307,7.56593e-307,,,0.0855764,7.56593e-307,7.56593e-307,,,29.5334,7.56593e-307,7.56593e-307
30/06/2023 12:36:24:730,345.996,1.69119e-306,1.69119e-306,,,0.0855764,1.69119e-306,1.69119e-306,,,29.5334,1.69119e-306,1.69119e-306
30/06/2023 12:36:25:234,345.997,1.60221e-306,1.60221e-306,,,0.0855022,1.60221e-306,1.60221e-306,,,29.5602,1.60221e-306,1.60221e-306
30/06/2023 12:36:25:239,345.997,1.11261e-306,1.11261e-306,,,0.0855022,1.11261e-306,1.11261e-306,,,29.5602,1.11261e-306,1.11261e-306
30/06/2023 12:36:25:240,345.997,1.86922e-306,1.86922e-306,,,0.0855022,1.86922e-306,1.86922e-306,,,29.5602,1.86922e-306,1.86922e-306
30/06/2023 12:36:25:857,345.997,3.22646e-307,3.22646e-307,,,0.0850713,3.22646e-307,3.22646e-307,,,29.4729,3.22646e-307,3.22646e-307
30/06/2023 12:36:25:859,345.997,2.44768e-307,2.44768e-307,,,0.0850713,2.44768e-307,2.44768e-307,,,29.4729,2.44768e-307,2.44768e-307
30/06/2023 12:36:25:862,345.997,1.00133e-307,1.00133e-307,,,0.0850713,1.00133e-307,1.00133e-307,,,29.4729,1.00133e-307,1.00133e-307
30/06/2023 12:36:26:236,345.996,1.22384e-307,1.22384e-307,,,0.0838995,1.22384e-307,1.22384e-307,,,29.0386,1.22384e-307,1.22384e-307
30/06/2023 12:36:26:239,345.996,2.13621e-306,2.13621e-306,,,0.0838995,2.13621e-306,2.13621e-306,,,29.0386,2.13621e-306,2.13621e-306
