Unnamed: 0,Datetime,Iset,Igrid,Vgrid,Icharger,Vcharger
,2023-06-30 12:36:34,0.0,1.2,232.2,0.1,347.1
,2023-06-30 12:36:37,0.0,2.5,232.3,0.1,347.1
,2023-06-30 12:36:39,0.0,0.3,232.1,0.1,347.1
,2023-06-30 12:36:41,0.0,0.3,232.2,0.1,347.1
,2023-06-30 12:36:43,0.0,0.3,232.1,0.1,347.1
,2023-06-30 12:36:46,0.0,0.3,232.1,0.1,347.1
,2023-06-30 12:36:48,0.0,0.3,232.1,0.1,347.1
,2023-06-30 12:36:50,0.0,0.3,232.0,0.1,347.1
,2023-06-30 12:36:52,0.0,0.3,231.9,0.1,347.1
,2023-06-30 12:36:55,0.0,0.3,231.6,0.1,347.1
,2023-06-30 12:36:57,0.0,0.3,231.5,0.1,347.1
,2023-06-30 12:36:59,0.0,0.3,231.6,0.1,347.1
,2023-06-30 12:37:01,0.0,0.3,231.6,0.1,347.1
,2023-06-30 12:37:04,0.0,0.3,231.7,0.1,347.1
,2023-06-30 12:37:06,0.0,0.3,231.9,0.1,347.1
,2023-06-30 12:37:08,0.0,0.3,231.9,0.1,347.1
,2023-06-30 12:37:10,0.0,0.3,231.7,0.1,347.1
,2023-06-30 12:37:12,0.0,0.3,231.6,0.1,347.1
,2023-06-30 12:37:15,0.0,0.3,231.5,0.1,347.1
,2023-06-30 12:37:17,0.0,0.3,231.6,0.1,347.1
,2023-06-30 12:37:19,0.0,0.3,231.5,0.1,347.1
,2023-06-30 12:37:24,6.0,0.3,231.7,0.1,347.1
,2023-06-30 12:37:28,6.0,3.1,231.4,6.0,347.5
,2023-06-30 12:37:32,6.0,3.1,230.9,6.0,347.7
,2023-06-30 12:37:35,6.0,3.1,230.9,6.1,347.5
,2023-06-30 12:37:39,6.0,3.1,231.6,6.0,347.3
,2023-06-30 12:37:43,6.0,3.1,231.5,6.1,347.5
,2023-06-30 12:37:47,6.0,3.1,231.4,6.0,347.5
,2023-06-30 12:37:51,6.0,3.1,231.6,6.0,347.5
,2023-06-30 12:37:55,6.0,3.1,231.7,6.0,347.5
,2023-06-30 12:38:00,6.0,3.1,232.0,6.0,347.5
,2023-06-30 12:38:05,6.0,3.1,231.9,6.0,347.5
,2023-06-30 12:38:10,6.0,3.1,232.2,6.0,347.7
,2023-06-30 12:38:15,6.0,3.1,232.1,6.0,347.5
,2023-06-30 12:38:20,6.0,3.1,232.1,6.0,347.5
,2023-06-30 12:38:25,6.0,3.1,232.0,6.0,347.5
,2023-06-30 12:38:30,20.0,3.1,231.9,6.0,347.5
,2023-06-30 12:38:35,6.0,10.3,230.8,20.2,348.2
,2023-06-30 12:38:40,20.0,3.1,231.5,6.1,347.5
,2023-06-30 12:38:44,20.0,10.3,230.3,20.2,348.2
,2023-06-30 12:38:49,20.0,10.3,230.2,20.2,348.4
,2023-06-30 12:38:53,20.0,10.3,230.1,20.2,348.2
,2023-06-30 12:38:58,20.0,10.3,230.4,20.1,348.4
,2023-06-30 12:39:02,20.0,10.3,230.6,20.2,348.4
,2023-06-30 12:39:07,20.0,10.3,230.6,20.2,348.4
,2023-06-30 12:39:11,20.0,10.3,230.4,20.2,348.4
,2023-06-30 12:39:15,20.0,10.3,230.0,20.2,348.2
,2023-06-30 12:39:20,20.0,10.4,229.7,20.3,348.4
,2023-06-30 12:39:24,20.0,10.4,229.9,20.2,348.6
