Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
29/06/2023 16:07:00:861,345.998,0,0,,,0.0891072,0,0,,,30.8404,0,0
29/06/2023 16:07:01:834,345.998,0,0,,,0.0894797,0,0,,,30.9441,0,0
29/06/2023 16:07:02:914,345.997,0,0,,,0.0894476,0,0,,,30.9424,0,0
29/06/2023 16:07:03:894,345.996,0,0,,,0.0880726,0,0,,,30.4614,0,0
29/06/2023 16:07:05:069,345.998,0,0,,,0.0885312,0,0,,,30.5716,0,0
29/06/2023 16:07:06:273,345.997,0,0,,,0.0891615,0,0,,,30.8698,0,0
29/06/2023 16:07:07:573,345.997,0,0,,,0.0888985,0,0,,,30.7944,0,0
29/06/2023 16:07:08:589,345.998,0,0,,,0.0892215,0,0,,,30.6184,0,0
29/06/2023 16:07:09:615,345.997,0,0,,,0.0891237,0,0,,,30.8325,0,0
29/06/2023 16:07:10:838,345.998,0,0,,,0.0879177,0,0,,,30.3884,0,0
29/06/2023 16:07:11:829,345.998,7.6116e-311,7.6116e-311,,,0.0891306,7.6116e-311,7.6116e-311,,,30.8179,7.6116e-311,7.6116e-311
29/06/2023 16:07:12:880,345.997,7.62009e-311,7.62009e-311,,,0.087764,7.62009e-311,7.62009e-311,,,30.3515,7.62009e-311,7.62009e-311
29/06/2023 16:07:13:989,345.997,7.62857e-311,7.62857e-311,,,0.0857642,7.62857e-311,7.62857e-311,,,29.6572,7.62857e-311,7.62857e-311
29/06/2023 16:07:14:901,345.997,7.63706e-311,7.63706e-311,,,0.0886158,7.63706e-311,7.63706e-311,,,30.6429,7.63706e-311,7.63706e-311
29/06/2023 16:07:16:332,345.998,7.64555e-311,7.64555e-311,,,0.0889529,7.64555e-311,7.64555e-311,,,30.7439,7.64555e-311,7.64555e-311
29/06/2023 16:07:17:107,345.996,7.65404e-311,7.65404e-311,,,0.0884366,7.65404e-311,7.65404e-311,,,30.6469,7.65404e-311,7.65404e-311
