Unnamed: 0,Datetime,Iset,Igrid,Vgrid,Icharger,Vcharger
,2023-06-29 16:07:09,0.0,120,23170,10,34710
,2023-06-29 16:07:12,0.0,250,23180,10,34710
,2023-06-29 16:07:14,0.0,30,23170,10,34710
,2023-06-29 16:07:16,0.0,30,23170,10,34710
,2023-06-29 16:07:18,0.0,30,23180,10,34710
,2023-06-29 16:07:21,0.0,30,23180,10,34710
,2023-06-29 16:07:23,0.0,30,23180,10,34710
,2023-06-29 16:07:25,0.0,30,23190,10,34710
,2023-06-29 16:07:27,0.0,30,23190,10,34710
,2023-06-29 16:07:30,0.0,30,23190,10,34710
,2023-06-29 16:07:32,0.0,30,23190,10,34710
,2023-06-29 16:07:34,0.0,30,23180,10,34710
,2023-06-29 16:07:36,0.0,30,23210,10,34710
,2023-06-29 16:07:39,0.0,30,23200,10,34710
,2023-06-29 16:07:41,0.0,30,23200,10,34710
,2023-06-29 16:07:43,0.0,30,23190,10,34730
,2023-06-29 16:07:45,0.0,30,23180,10,34730
,2023-06-29 16:07:48,0.0,30,23160,10,34710
,2023-06-29 16:07:50,0.0,30,23160,10,34710
,2023-06-29 16:07:52,0.0,30,23170,10,34710
,2023-06-29 16:07:54,0.0,30,23160,10,34710
,2023-06-29 16:07:57,6.0,30,23140,10,34710
,2023-06-29 16:08:00,6.0,310,23100,610,34750
,2023-06-29 16:08:03,8.19,310,23110,630,34750
,2023-06-29 16:08:05,6.0,420,23080,820,34750
,2023-06-29 16:08:08,6.0,310,23100,610,34750
,2023-06-29 16:08:10,6.0,310,23120,610,34750
,2023-06-29 16:08:13,6.15,310,23150,600,34750
,2023-06-29 16:08:16,6.0,320,23160,610,34750
,2023-06-29 16:08:18,6.59,310,23140,600,34750
,2023-06-29 16:08:21,6.0,340,23130,660,34750
,2023-06-29 16:08:24,6.0,310,23140,600,34770
,2023-06-29 16:08:27,7.89,310,23110,600,34750
,2023-06-29 16:08:30,8.41,400,23110,790,34770
,2023-06-29 16:08:32,7.77,430,23130,850,34770
,2023-06-29 16:08:35,8.38,400,23130,770,34770
,2023-06-29 16:08:38,12.56,430,23130,840,34770
,2023-06-29 16:08:41,12.7,640,23100,1260,34790
,2023-06-29 16:08:43,13.7,650,23120,1280,34810
,2023-06-29 16:08:46,14.47,700,23120,1380,34810
,2023-06-29 16:08:49,12.5,740,23120,1450,34790
,2023-06-29 16:08:52,15.0,640,23140,1270,34790
,2023-06-29 16:08:55,15.61,770,23100,1520,34790
,2023-06-29 16:08:58,15.86,800,23070,1580,34810
,2023-06-29 16:09:01,15.55,820,23050,1590,34810
,2023-06-29 16:09:03,16.22,800,23060,1560,34790
,2023-06-29 16:09:06,15.99,840,23050,1630,34820
,2023-06-29 16:09:09,13.26,820,23050,1600,34810
,2023-06-29 16:09:12,20.0,680,23100,1330,34810
,2023-06-29 16:09:15,20.0,1030,23040,2020,34860
,2023-06-29 16:09:19,20.0,1030,23050,2020,34840
,2023-06-29 16:09:22,20.0,1030,23040,2020,34840
,2023-06-29 16:09:25,20.0,1030,23040,2030,34840
,2023-06-29 16:09:28,20.0,1030,23040,2020,34840
,2023-06-29 16:09:31,20.0,1030,23050,2020,34840
,2023-06-29 16:09:34,20.0,1030,23040,2020,34840
,2023-06-29 16:09:37,20.0,1030,23050,2020,34860
,2023-06-29 16:09:40,20.0,1030,23050,2020,34840
,2023-06-29 16:09:54,20.0,1030,23050,2020,34840
,2023-06-29 16:09:57,20.0,1030,23040,2020,34840
,2023-06-29 16:10:00,20.0,1030,23040,2020,34860
,2023-06-29 16:10:03,20.0,1030,23040,2020,34840
,2023-06-29 16:10:06,20.0,1030,23050,2020,34860
,2023-06-29 16:10:09,20.0,1030,23070,2020,34860
,2023-06-29 16:10:13,20.0,1030,23010,2020,34860
,2023-06-29 16:10:15,20.0,1030,23020,2020,34860
,2023-06-29 16:10:18,20.0,1030,23020,2020,34860
,2023-06-29 16:10:21,20.0,1030,23020,2020,34860
,2023-06-29 16:10:24,20.0,1040,23000,2020,34860
,2023-06-29 16:10:28,20.0,1030,23030,2020,34860
,2023-06-29 16:10:31,20.0,1030,23020,2020,34860
,2023-06-29 16:10:34,20.0,1030,23020,2020,34860
,2023-06-29 16:10:38,20.0,1040,23030,2020,34860
,2023-06-29 16:10:41,20.0,1030,23020,2020,34860
,2023-06-29 16:10:43,20.0,1030,23020,2020,34860
,2023-06-29 16:10:47,20.0,1040,23000,2020,34880
,2023-06-29 16:10:50,20.0,1030,23000,2020,34860
,2023-06-29 16:10:53,20.0,1040,23000,2020,34880
,2023-06-29 16:10:56,20.0,1040,22990,2020,34880
,2023-06-29 16:10:59,20.0,1030,23070,2020,34880
,2023-06-29 16:11:03,20.0,1030,23060,2020,34860
,2023-06-29 16:11:07,20.0,1030,23060,2020,34860
,2023-06-29 16:11:10,20.0,1030,23060,2020,34880
,2023-06-29 16:11:13,20.0,1030,23060,2020,34880
,2023-06-29 16:11:16,20.0,1030,23090,2020,34880
,2023-06-29 16:11:20,20.0,1030,23090,2020,34880
,2023-06-29 16:11:22,20.0,1030,23110,2020,34880
,2023-06-29 16:11:27,20.0,1030,23110,2020,34860
,2023-06-29 16:11:30,20.0,1030,23110,2010,34880
,2023-06-29 16:11:33,20.0,1030,23100,2020,34880
,2023-06-29 16:11:36,20.0,1030,23110,2020,34880
,2023-06-29 16:11:38,20.0,1030,23110,2020,34880
,2023-06-29 16:11:42,20.0,1030,23110,2020,34880
,2023-06-29 16:11:45,20.0,1030,23100,2020,34880
,2023-06-29 16:11:48,20.0,1030,23110,2020,34880
,2023-06-29 16:11:50,20.0,1030,23110,2010,34880
,2023-06-29 16:11:53,20.0,1030,23110,2020,34880
,2023-06-29 16:11:56,20.0,1030,23090,2020,34880
,2023-06-29 16:11:59,20.0,1030,23100,2020,34880
,2023-06-29 16:12:02,0.0,1030,23110,2020,34900
,2023-06-29 16:12:04,0.0,40,23260,10,34790
,2023-06-29 16:12:07,0.0,30,23270,10,34790
,2023-06-29 16:12:09,0.0,30,23270,10,34790
,2023-06-29 16:12:12,0.0,30,23280,10,34790
,2023-06-29 16:12:15,0.0,30,23280,10,34790
,2023-06-29 16:12:17,0.0,30,22990,10,34790
,2023-06-29 16:12:20,0.0,30,22990,10,34790
,2023-06-29 16:12:22,0.0,30,23000,10,34790
,2023-06-29 16:12:25,0.0,30,23010,10,34790
,2023-06-29 16:12:28,0.0,30,23000,10,34770
,2023-06-29 16:12:30,0.0,30,23000,10,34770
,2023-06-29 16:12:33,0.0,30,22990,10,34790
,2023-06-29 16:12:35,0.0,30,22980,10,34790
,2023-06-29 16:12:38,0.0,30,22980,10,34790
,2023-06-29 16:12:41,0.0,30,22980,10,34790
,2023-06-29 16:12:43,0.0,30,22990,10,34790
,2023-06-29 16:12:46,0.0,30,23000,10,34790
,2023-06-29 16:12:48,0.0,30,23000,10,34790
,2023-06-29 16:12:51,0.0,30,23010,10,34770
,2023-06-29 16:12:54,0.0,30,23010,10,34790
,2023-06-29 16:12:56,0.0,30,22990,10,34790
,2023-06-29 16:12:59,0.0,30,22980,10,34790
,2023-06-29 16:13:02,0.0,30,22970,10,34790
,2023-06-29 16:13:04,0.0,30,22960,10,34790
,2023-06-29 16:13:07,0.0,30,22970,10,34770
,2023-06-29 16:13:10,0.0,30,22940,10,34770
,2023-06-29 16:13:13,0.0,30,22930,10,34790
,2023-06-29 16:13:15,0.0,30,22900,10,34790
,2023-06-29 16:13:18,0.0,30,22930,10,34790
,2023-06-29 16:13:20,0.0,30,22920,10,34790
,2023-06-29 16:13:23,0.0,30,22920,10,34770
,2023-06-29 16:13:25,0.0,30,22900,10,34790
,2023-06-29 16:13:27,0.0,30,22900,10,34790
,2023-06-29 16:13:30,0.0,30,22900,10,34790
,2023-06-29 16:13:32,0.0,30,22900,10,34770
,2023-06-29 16:13:34,0.0,30,22900,10,34790
,2023-06-29 16:13:36,0.0,30,22890,10,34790
,2023-06-29 16:13:39,0.0,30,22880,10,34790
,2023-06-29 16:13:41,0.0,30,22910,10,34790
,2023-06-29 16:13:48,0.0,30,22950,10,34790
,2023-06-29 16:13:50,0.0,30,22960,10,34770
,2023-06-29 16:13:52,0.0,30,22950,10,34790
,2023-06-29 16:13:55,0.0,30,22940,10,34790
,2023-06-29 16:13:57,0.0,30,22920,10,34790
