Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
30/06/2023 11:04:58:615;345.998;0;0;;;0.0858601;0;0;;;29.7235;0;0
30/06/2023 11:04:59:398;345.998;0;0;;;0.0866745;0;0;;;30.0279;0;0
30/06/2023 11:04:59:855;345.998;0;0;;;0.0863149;0;0;;;29.8431;0;0
30/06/2023 11:05:00:279;345.997;0;0;;;0.0863149;0;0;;;29.7903;0;0
30/06/2023 11:05:00:880;345.998;0;0;;;0.0841945;0;0;;;30.2212;0;0
30/06/2023 11:05:01:381;345.998;0;0;;;0.0872773;0;0;;;30.1151;0;0
30/06/2023 11:05:02:112;345.997;0;0;;;0.086977;0;0;;;29.8199;0;0
30/06/2023 11:05:02:755;345.997;0;0;;;0.0873292;0;0;;;29.9045;0;0
30/06/2023 11:05:02:986;345.997;0;0;;;0.0861389;0;0;;;30.0014;0;0
30/06/2023 11:05:03:421;345.997;0;0;;;0.0864459;0;0;;;29.9344;0;0
30/06/2023 11:05:03:823;345.997;7.6116e-311;7.6116e-311;;;0.08654;7.6116e-311;7.6116e-311;;;30.0121;7.6116e-311;7.6116e-311
30/06/2023 11:05:04:128;345.997;7.62009e-311;7.62009e-311;;;0.0865363;7.62009e-311;7.62009e-311;;;29.1962;7.62009e-311;7.62009e-311
30/06/2023 11:05:04:540;345.997;7.62857e-311;7.62857e-311;;;0.0866158;7.62857e-311;7.62857e-311;;;30.0619;7.62857e-311;7.62857e-311
30/06/2023 11:05:05:128;345.998;7.63706e-311;7.63706e-311;;;0.0851899;7.63706e-311;7.63706e-311;;;29.7346;7.63706e-311;7.63706e-311
30/06/2023 11:05:05:747;345.996;7.64555e-311;7.64555e-311;;;0.0867891;7.64555e-311;7.64555e-311;;;30.1607;7.64555e-311;7.64555e-311
30/06/2023 11:05:06:378;345.997;7.65404e-311;7.65404e-311;;;0.0859859;7.65404e-311;7.65404e-311;;;29.8056;7.65404e-311;7.65404e-311
30/06/2023 11:05:07:086;345.999;7.66253e-311;7.66253e-311;;;0.0870229;7.66253e-311;7.66253e-311;;;29.4001;7.66253e-311;7.66253e-311
30/06/2023 11:05:07:812;345.997;7.67101e-311;7.67101e-311;;;0.0861167;7.67101e-311;7.67101e-311;;;30.0556;7.67101e-311;7.67101e-311
