Datetime,Building Load (kWh),PV (kWh),Price (Euros/kWh),EV2,EV0,EV1
2022-03-21 06:00:00,2.3362000000000003,0.0062,0.18685,0,0,0
2022-03-21 06:05:00,3.4688,0.0064,0.18685,0,0,0
2022-03-21 06:10:00,7.333799999999998,0.0052,0.18685,0,0,0
2022-03-21 06:15:00,9.9364,0.0054,0.18685,0,0,0
2022-03-21 06:20:00,8.617799999999999,0.0056,0.18685,0,0,0
2022-03-21 06:25:00,7.0204,0.005,0.18685,0,0,0
2022-03-21 06:30:00,7.170400000000001,0.005,0.18685,0,0,0
2022-03-21 06:35:00,7.1068,0.0052,0.18685,0,0,0
2022-03-21 06:40:00,8.106,0.0056,0.18685,0,0,0
2022-03-21 06:45:00,8.8596,0.004,0.18685,0,0,0
2022-03-21 06:50:00,10.828399999999998,-0.0438,0.18685,0,0,0
2022-03-21 06:55:00,10.223,-0.121,0.18685,0,0,0
2022-03-21 07:00:00,10.081,-0.2592,0.264,0,0,0
2022-03-21 07:05:00,12.1986,-0.4352,0.264,0,0,0
2022-03-21 07:10:00,15.060199999999998,-0.616,0.264,0,0,0
2022-03-21 07:15:00,12.700400000000002,-0.8234,0.264,0,0,0
2022-03-21 07:20:00,11.9242,-1.0654,0.264,0,0,0
2022-03-21 07:25:00,11.9202,-1.3224,0.264,0,0,0
2022-03-21 07:30:00,11.7654,-1.5524,0.264,0,0,0
2022-03-21 07:35:00,12.8458,-1.7794,0.264,0,0,0
2022-03-21 07:40:00,13.254599999999998,-2.0486,0.264,0,0,0
2022-03-21 07:45:00,16.119199999999996,-2.3422,0.264,20,20,0
2022-03-21 07:50:00,16.675199999999997,-2.6416,0.264,20,20,0
2022-03-21 07:55:00,14.020599999999998,-2.9404,0.264,20,20,0
2022-03-21 08:00:00,15.275799999999998,-3.228,0.288,20,20,0
2022-03-21 08:05:00,16.4262,-3.566,0.288,20,20,0
2022-03-21 08:10:00,13.914,-3.871,0.288,20,20,0
2022-03-21 08:15:00,14.011599999999998,-4.1996,0.288,20,20,0
2022-03-21 08:20:00,14.4208,-4.457800000000001,0.288,20,20,0
2022-03-21 08:25:00,14.2604,-4.776999999999999,0.288,20,20,0
2022-03-21 08:30:00,14.9564,-5.0566,0.288,20,20,20
2022-03-21 08:35:00,16.532000000000004,-5.3476,0.288,20,20,20
2022-03-21 08:40:00,13.9586,-5.6544,0.288,20,20,20
2022-03-21 08:45:00,13.900799999999991,-5.9646,0.288,20,20,20
2022-03-21 08:50:00,14.683800000000003,-6.2924,0.288,20,20,20
2022-03-21 08:55:00,14.547600000000006,-6.5840000000000005,0.288,20,20,20
2022-03-21 09:00:00,14.439599999999997,-6.885,0.26842,20,20,20
2022-03-21 09:05:00,14.579000000000002,-7.1312,0.26842,20,20,20
2022-03-21 09:10:00,14.108399999999998,-7.4068,0.26842,20,20,20
2022-03-21 09:15:00,13.771200000000006,-7.6788,0.26842,20,20,20
2022-03-21 09:20:00,15.504400000000002,-7.912000000000001,0.26842,20,20,20
2022-03-21 09:25:00,13.838,-8.174800000000001,0.26842,20,20,20
2022-03-21 09:30:00,13.599799999999998,-8.451600000000001,0.26842,20,20,20
2022-03-21 09:35:00,13.621400000000005,-8.6816,0.26842,20,20,20
2022-03-21 09:40:00,14.086600000000002,-8.8856,0.26842,20,20,20
2022-03-21 09:45:00,13.731399999999995,-9.0934,0.26842,20,20,20
2022-03-21 09:50:00,14.101200000000002,-9.27,0.26842,20,20,20
2022-03-21 09:55:00,16.491,-9.4558,0.26842,20,20,20
